language_pair,split,source_lang,target_lang,source_text,target_text
Tagalog-Waray,train,Tagalog,Waray,Agham,Siyensya
Tagalog-Waray,train,Tagalog,Waray,linis,hamisi
Tagalog-Waray,train,Tagalog,Waray,bago,bag-o
Tagalog-Waray,train,Tagalog,Waray,Fatigue,Págal
Tagalog-Waray,train,Tagalog,Waray,bukas,buwas
Tagalog-Waray,train,Tagalog,Waray,Kinupkop,Panalipód
Tagalog-Waray,train,Tagalog,Waray,Ikalawang palapag,Ikaduha Nga Andana
Tagalog-Waray,train,Tagalog,Waray,Salon ng buhok,Salon Hin Buhok
Tagalog-Waray,train,Tagalog,Waray,Mahal kita,Hinigugma Ko Ikaw
Tagalog-Waray,train,Tagalog,Waray,alas syete ng umaga,álas syite han ága
Tagalog-Waray,train,Tagalog,Waray,Walumpu,Otsenta
Tagalog-Waray,train,Tagalog,Waray,Palahayupan,Hardin Soolohiko
Tagalog-Waray,train,Tagalog,Waray,Opisina,Upisina
Tagalog-Waray,train,Tagalog,Waray,alas sais ng umaga,álas sáis han ága
Tagalog-Waray,train,Tagalog,Waray,Pamahalaan,Gobiyerno
Tagalog-Waray,train,Tagalog,Waray,Balkonahe,Balkonahe
Tagalog-Waray,train,Tagalog,Waray,Siyam,Siyam
Tagalog-Waray,train,Tagalog,Waray,Kailan,San-O
Tagalog-Waray,train,Tagalog,Waray,payat,haligot
Tagalog-Waray,train,Tagalog,Waray,Paksiw na bangus,Paksiw Nga Bangus
Tagalog-Waray,train,Tagalog,Waray,Isang araw,Sayô Kaadlaw
Tagalog-Waray,train,Tagalog,Waray,Labing isa,Onse
Tagalog-Waray,train,Tagalog,Waray,bata,batá
Tagalog-Waray,train,Tagalog,Waray,Bahay,Balay
Tagalog-Waray,train,Tagalog,Waray,Labing apat,Katorse
Tagalog-Waray,train,Tagalog,Waray,Taon,Tuig
Tagalog-Waray,train,Tagalog,Waray,Martes,Martes
Tagalog-Waray,train,Tagalog,Waray,Labing pito,Desisyete
Tagalog-Waray,train,Tagalog,Waray,Araling Panlipunan,Araling Panlipunan
Tagalog-Waray,train,Tagalog,Waray,Pamilya,Panimaláy
Tagalog-Waray,train,Tagalog,Waray,Asul,Asul
Tagalog-Waray,train,Tagalog,Waray,Gasolinahan,Gasolinahan
Tagalog-Waray,train,Tagalog,Waray,mapurol,mangarol
Tagalog-Waray,train,Tagalog,Waray,Sabado,Sabado
Tagalog-Waray,train,Tagalog,Waray,Tocino,Tocino
Tagalog-Waray,train,Tagalog,Waray,I,I
Tagalog-Waray,train,Tagalog,Waray,Buwaya,Buaya
Tagalog-Waray,train,Tagalog,Waray,Habal-habal,Habal-Habal
Tagalog-Waray,train,Tagalog,Waray,Sipon,Sip-On
Tagalog-Waray,train,Tagalog,Waray,Kapitbahay,Anyaw
Tagalog-Waray,train,Tagalog,Waray,J,J
Tagalog-Waray,train,Tagalog,Waray,unawain,íntyindihon
Tagalog-Waray,train,Tagalog,Waray,Hanggang sa muli,Kitaay Kita Utro
Tagalog-Waray,train,Tagalog,Waray,Bahaghari,Balangaw
Tagalog-Waray,train,Tagalog,Waray,upo,íngkud
Tagalog-Waray,train,Tagalog,Waray,San ka nagmula?,Taga Diin Ka?
Tagalog-Waray,train,Tagalog,Waray,Nilagang itlog,Gin-Ihaw Nga Bunay
Tagalog-Waray,train,Tagalog,Waray,Tsaa,Simente
Tagalog-Waray,train,Tagalog,Waray,Silid aklatan,Barasahan
Tagalog-Waray,train,Tagalog,Waray,Manila,Manila
Tagalog-Waray,train,Tagalog,Waray,halik,harók
Tagalog-Waray,train,Tagalog,Waray,Magkano,Pira
Tagalog-Waray,train,Tagalog,Waray,Cereal,Seryal
Tagalog-Waray,train,Tagalog,Waray,Pasilyo,Pasilyo
Tagalog-Waray,train,Tagalog,Waray,kaunti,gutiay
Tagalog-Waray,train,Tagalog,Waray,Istasyon ng gas,Istasyon Han Gasolina
Tagalog-Waray,train,Tagalog,Waray,Langgam,Tubak
Tagalog-Waray,train,Tagalog,Waray,malakas,makusóg
Tagalog-Waray,train,Tagalog,Waray,X,X
Tagalog-Waray,train,Tagalog,Waray,matuwa,málipay
Tagalog-Waray,train,Tagalog,Waray,Enero,Enero
Tagalog-Waray,train,Tagalog,Waray,Y,Y
Tagalog-Waray,train,Tagalog,Waray,Negros Oriental,Negros Oriental
Tagalog-Waray,train,Tagalog,Waray,Negros Occidental,Negros Occidental
Tagalog-Waray,train,Tagalog,Waray,Magandang Hapon,Maupay Nga Kulop
Tagalog-Waray,train,Tagalog,Waray,Tanggapan ng sulat,Opisina Han Koreo
Tagalog-Waray,train,Tagalog,Waray,Pritong itlog,Prito Nga Bunay
Tagalog-Waray,train,Tagalog,Waray,barkada,sangkáy
Tagalog-Waray,train,Tagalog,Waray,Dalawang daan,Dosyentos
Tagalog-Waray,train,Tagalog,Waray,kasal,kasál
Tagalog-Waray,train,Tagalog,Waray,Komputeran,Kompyuteran
Tagalog-Waray,train,Tagalog,Waray,Mansanas,Mansanas
Tagalog-Waray,train,Tagalog,Waray,matalim,matarom
Tagalog-Waray,train,Tagalog,Waray,mamaya,unina
Tagalog-Waray,train,Tagalog,Waray,Takdang-Aralin,Pag Gahin
Tagalog-Waray,train,Tagalog,Waray,Limang daan,Kenyintos
Tagalog-Waray,train,Tagalog,Waray,iyak,singgaaki
Tagalog-Waray,train,Tagalog,Waray,Katas ng mansanas,Duga Han Mansanas
Tagalog-Waray,train,Tagalog,Waray,Namamagang lalamunan,Sakit Ha But-Ol
Tagalog-Waray,train,Tagalog,Waray,Tindahan,Tiendahan
Tagalog-Waray,train,Tagalog,Waray,alas onse ng gabi,álas onsehan gab-i
Tagalog-Waray,train,Tagalog,Waray,Apat,Upat
Tagalog-Waray,train,Tagalog,Waray,Elebeytor,Elebeytor
Tagalog-Waray,train,Tagalog,Waray,laro,uyág
Tagalog-Waray,train,Tagalog,Waray,Kanin,Humay
Tagalog-Waray,train,Tagalog,Waray,E,E
Tagalog-Waray,train,Tagalog,Waray,panuorin,ímudon
Tagalog-Waray,train,Tagalog,Waray,Bohol,Bohol
Tagalog-Waray,train,Tagalog,Waray,Mainit na tsokolate,Mapasô Nga Tsokolate
Tagalog-Waray,train,Tagalog,Waray,Leyte,Leyte
Tagalog-Waray,train,Tagalog,Waray,kahapon,kakulop
Tagalog-Waray,train,Tagalog,Waray,Abo,Kolor Uban
Tagalog-Waray,train,Tagalog,Waray,Setyembre,Setyembre
Tagalog-Waray,train,Tagalog,Waray,manipis,gutiay
Tagalog-Waray,train,Tagalog,Waray,tuwid ang buhok,tul-id nga buhok
Tagalog-Waray,train,Tagalog,Waray,Pitong daan,Syete Syentos
Tagalog-Waray,train,Tagalog,Waray,ngayon,yana
Tagalog-Waray,train,Tagalog,Waray,Bataan,Bataan
Tagalog-Waray,train,Tagalog,Waray,Disyembre,Desyembre
Tagalog-Waray,train,Tagalog,Waray,tikman,tádihan
Tagalog-Waray,train,Tagalog,Waray,Pilak,Plata
Tagalog-Waray,train,Tagalog,Waray,alas syete ng gabi,álas syite han gab-i
Tagalog-Waray,train,Tagalog,Waray,K,K
Tagalog-Waray,train,Tagalog,Waray,Anim,Unom
Tagalog-Waray,train,Tagalog,Waray,tawag,gáhoy
Tagalog-Waray,train,Tagalog,Waray,Komedor,Komedor
Tagalog-Waray,train,Tagalog,Waray,Luzon,Luzon
Tagalog-Waray,train,Tagalog,Waray,Doktor,Dóktor
Tagalog-Waray,train,Tagalog,Waray,alas otso ng gabi,álas otso han gab-i
Tagalog-Waray,train,Tagalog,Waray,Ubo,Ubo
Tagalog-Waray,train,Tagalog,Waray,alas singko ng hapon,álas singko han kulop
Tagalog-Waray,train,Tagalog,Waray,bumili,palit
Tagalog-Waray,train,Tagalog,Waray,Sa kanya,Ha Kaniya
Tagalog-Waray,train,Tagalog,Waray,Ilocos Norte,Ilocos Norte
Tagalog-Waray,train,Tagalog,Waray,Dalawa,Doha
Tagalog-Waray,train,Tagalog,Waray,Tsaa ng gatas,Tasa Hin Gatas
Tagalog-Waray,train,Tagalog,Waray,Pampanga,Pampanga
Tagalog-Waray,train,Tagalog,Waray,malayo,hirayô
Tagalog-Waray,train,Tagalog,Waray,Alin,Hain
Tagalog-Waray,train,Tagalog,Waray,Magandang Gabi,Maupay Nga Gab-I
Tagalog-Waray,train,Tagalog,Waray,Inidoro,Inidoro
Tagalog-Waray,train,Tagalog,Waray,Bingi,Búngol
Tagalog-Waray,train,Tagalog,Waray,Paradahan,Parke
Tagalog-Waray,train,Tagalog,Waray,Davao,Davao
Tagalog-Waray,train,Tagalog,Waray,Apat na daan,Kwartosyentos
Tagalog-Waray,train,Tagalog,Waray,Dalawamput apat,Bente Kwatro
Tagalog-Waray,train,Tagalog,Waray,Kuya,Bugtó Nga Lalake
Tagalog-Waray,train,Tagalog,Waray,alas diyes ng umaga,álas dyeshan ága
Tagalog-Waray,train,Tagalog,Waray,Huwebes,Huybes
Tagalog-Waray,train,Tagalog,Waray,pamangkin na lalaki,umangkón nga lalake
Tagalog-Waray,train,Tagalog,Waray,Dyip,Dyip
Tagalog-Waray,train,Tagalog,Waray,Panaderya,Panaderya
Tagalog-Waray,train,Tagalog,Waray,Daga,Yatot
Tagalog-Waray,train,Tagalog,Waray,Trak ng basura,Trak Han Basura
Tagalog-Waray,train,Tagalog,Waray,Kotse,Behikulo
Tagalog-Waray,train,Tagalog,Waray,Tanghalian,Paningodto
Tagalog-Waray,train,Tagalog,Waray,inom,inóm
Tagalog-Waray,train,Tagalog,Waray,Bisikleta,Bisikleta
Tagalog-Waray,train,Tagalog,Waray,Uminon ng tubig,Nag-Inum Hin Tubig
Tagalog-Waray,train,Tagalog,Waray,magmasid,mag-inaw
Tagalog-Waray,train,Tagalog,Waray,Agahan,Pamahaw
Tagalog-Waray,train,Tagalog,Waray,Hulyo,Hulyo
Tagalog-Waray,train,Tagalog,Waray,Inumin,Inoma
Tagalog-Waray,train,Tagalog,Waray,Asukal,Asukar
Tagalog-Waray,train,Tagalog,Waray,Siquijor,Siquijor
Tagalog-Waray,train,Tagalog,Waray,Bahay kubo,Payag
Tagalog-Waray,train,Tagalog,Waray,Tito,Batâ
Tagalog-Waray,train,Tagalog,Waray,A,A
Tagalog-Waray,train,Tagalog,Waray,Wala lang,Waray La
Tagalog-Waray,train,Tagalog,Waray,Zambales,Zambales
Tagalog-Waray,train,Tagalog,Waray,Ham,Ham
Tagalog-Waray,train,Tagalog,Waray,Labing walo,Desi-Otso
Tagalog-Waray,train,Tagalog,Waray,Saan,Diin
Tagalog-Waray,train,Tagalog,Waray,Paano,Paunan-O
Tagalog-Waray,train,Tagalog,Waray,Kulay,Kolor
Tagalog-Waray,train,Tagalog,Waray,G,G
Tagalog-Waray,train,Tagalog,Waray,M,M
Tagalog-Waray,train,Tagalog,Waray,nadismaya,magturaw
Tagalog-Waray,train,Tagalog,Waray,O,O
Tagalog-Waray,train,Tagalog,Waray,Kahero,Kahero
Tagalog-Waray,train,Tagalog,Waray,Mangga,Mangga
Tagalog-Waray,train,Tagalog,Waray,Simbahan,Singbahan
Tagalog-Waray,train,Tagalog,Waray,Tindahan ng bulaklak,Tindahan Han Bukad
Tagalog-Waray,train,Tagalog,Waray,paumanhin,pamaribad
Tagalog-Waray,train,Tagalog,Waray,"Paumanhin, ano iyon?",Pasaylua Ano Adto?
Tagalog-Waray,train,Tagalog,Waray,bumulong,húnuring
Tagalog-Waray,train,Tagalog,Waray,Lugar,Dapit
Tagalog-Waray,train,Tagalog,Waray,Mindanao,Mindanao
Tagalog-Waray,train,Tagalog,Waray,alas nuwebe ng umaga,álas nuebe han ága
Tagalog-Waray,train,Tagalog,Waray,Ñ,Ñ
Tagalog-Waray,train,Tagalog,Waray,alas diyes ng gabi,álas dyes han gab-i
Tagalog-Waray,train,Tagalog,Waray,Labing anim,Desisais
Tagalog-Waray,train,Tagalog,Waray,Ilocos Sur,Ilocos Sur
Tagalog-Waray,train,Tagalog,Waray,matanda,edaran
Tagalog-Waray,train,Tagalog,Waray,Cebu,Cebu
Tagalog-Waray,train,Tagalog,Waray,alas kuwatro ng hapon,álas kwatro han kulop
Tagalog-Waray,train,Tagalog,Waray,salo,sálo
Tagalog-Waray,train,Tagalog,Waray,Lola,Apóy Nga Babaye
Tagalog-Waray,train,Tagalog,Waray,Makabayan,Makabayan
Tagalog-Waray,train,Tagalog,Waray,pagod,magbudlay
Tagalog-Waray,train,Tagalog,Waray,Bangko,Bangko
Tagalog-Waray,train,Tagalog,Waray,Monumento,Monumento
Tagalog-Waray,train,Tagalog,Waray,anong oras na?,áno nga orás yaná?
Tagalog-Waray,train,Tagalog,Waray,Dalawang linggo,Duha Kasemana
Tagalog-Waray,train,Tagalog,Waray,Hotdog,Hotdog
Tagalog-Waray,train,Tagalog,Waray,Siyam na daan,Nuebe Syentos
Tagalog-Waray,train,Tagalog,Waray,kabisaduhin,túumon
Tagalog-Waray,train,Tagalog,Waray,Pebrero,Pebrero
Tagalog-Waray,train,Tagalog,Waray,hinto,umodóng
Tagalog-Waray,train,Tagalog,Waray,Mula sa,Tikang Ha
Tagalog-Waray,train,Tagalog,Waray,Isda,Isda
Tagalog-Waray,train,Tagalog,Waray,Pinto,Purta
Tagalog-Waray,train,Tagalog,Waray,Magkita tayo mamaya,Magkita Kita Unina
Tagalog-Waray,train,Tagalog,Waray,magbilang,mag-iháp
Tagalog-Waray,train,Tagalog,Waray,Apo,Apó
Tagalog-Waray,train,Tagalog,Waray,partido,Pagkirita
Tagalog-Waray,train,Tagalog,Waray,Dalawang araw,Doha Kaadlaw
Tagalog-Waray,train,Tagalog,Waray,Museo,Museo
Tagalog-Waray,train,Tagalog,Waray,maganda,mahusay
Tagalog-Waray,train,Tagalog,Waray,Ang,An
Tagalog-Waray,train,Tagalog,Waray,alas nuwebe ng gabi,álas nuebe han gab-i
Tagalog-Waray,train,Tagalog,Waray,Hagdanan,Hagdanan
Tagalog-Waray,train,Tagalog,Waray,poot,mapungot
Tagalog-Waray,train,Tagalog,Waray,Isang libo,Mil
Tagalog-Waray,train,Tagalog,Waray,Asin,Asin
Tagalog-Waray,train,Tagalog,Waray,T,T
Tagalog-Waray,train,Tagalog,Waray,Inihaw,Mapuot
Tagalog-Waray,train,Tagalog,Waray,Berde,Berde/Grin
Tagalog-Waray,train,Tagalog,Waray,Mansyon,Dako Nga Balay
Tagalog-Waray,train,Tagalog,Waray,Ano,Ano
Tagalog-Waray,train,Tagalog,Waray,Tita,Dadâ
Tagalog-Waray,train,Tagalog,Waray,Matematika,Matematika
Tagalog-Waray,train,Tagalog,Waray,Ginto,Bulawan
Tagalog-Waray,train,Tagalog,Waray,Sakit ng ulo,Soul San Úlo
Tagalog-Waray,train,Tagalog,Waray,Iba pa,Iba Pa
Tagalog-Waray,train,Tagalog,Waray,umaga,aga
Tagalog-Waray,train,Tagalog,Waray,NUeva Ecija,Nueva Ecija
Tagalog-Waray,train,Tagalog,Waray,tigil,álto
Tagalog-Waray,train,Tagalog,Waray,Katas ng kahel,Duga Han Aranghita
Tagalog-Waray,train,Tagalog,Waray,Unang palapag,Una Nga Andana
Tagalog-Waray,train,Tagalog,Waray,Kapehan,Kapehan
Tagalog-Waray,train,Tagalog,Waray,Uminom ng gatas,Bag-Inum Hin Gatas
Tagalog-Waray,train,Tagalog,Waray,Filipino,Filipino
Tagalog-Waray,train,Tagalog,Waray,Kulungan,Karsel
Tagalog-Waray,train,Tagalog,Waray,pulong,Pulong
Tagalog-Waray,train,Tagalog,Waray,Dalawamput dalawa,Bent Dos
Tagalog-Waray,train,Tagalog,Waray,Sari-sari store,Iba-Iba Nga Paninda
Tagalog-Waray,train,Tagalog,Waray,Tatlong daan,Tresyentos
Tagalog-Waray,train,Tagalog,Waray,pamangkin na babae,umangkón nga babaye
Tagalog-Waray,train,Tagalog,Waray,Itim,Itom
Tagalog-Waray,train,Tagalog,Waray,C,C
Tagalog-Waray,train,Tagalog,Waray,F,F
Tagalog-Waray,train,Tagalog,Waray,Kumusta ka na?,Kumusta Ka Na?
Tagalog-Waray,train,Tagalog,Waray,maramdaman,madúmut
Tagalog-Waray,train,Tagalog,Waray,Balahibo,Barahibo
Tagalog-Waray,train,Tagalog,Waray,Siyamnapu,Nobenta
Tagalog-Waray,train,Tagalog,Waray,Garahe,Garahe
Tagalog-Waray,train,Tagalog,Waray,Isang linggo,Semana
Tagalog-Waray,train,Tagalog,Waray,At,Ngan
Tagalog-Waray,train,Tagalog,Waray,Parke,Plasa
Tagalog-Waray,train,Tagalog,Waray,asawang babae,asawa nga babaye
Tagalog-Waray,train,Tagalog,Waray,H,H
Tagalog-Waray,train,Tagalog,Waray,takbo,dumalagan
Tagalog-Waray,train,Tagalog,Waray,mga bata,Mga Batá
Tagalog-Waray,train,Tagalog,Waray,Labing lima,Kinse
Tagalog-Waray,train,Tagalog,Waray,alas otso ng umaga,álas utso han ága
Tagalog-Waray,train,Tagalog,Waray,Trak ng bumbero,Trak Han Bumbero
Tagalog-Waray,train,Tagalog,Waray,Dalawang taon,Doha Katuig
Tagalog-Waray,train,Tagalog,Waray,Isang daan,Syen
Tagalog-Waray,train,Tagalog,Waray,Walo,Walo
Tagalog-Waray,train,Tagalog,Waray,sorpresa,pag-ulhag
Tagalog-Waray,train,Tagalog,Waray,ala una ng hapon,álas una han kulop
Tagalog-Waray,train,Tagalog,Waray,N,N
Tagalog-Waray,train,Tagalog,Waray,Magulang,Kag-Anák
Tagalog-Waray,train,Tagalog,Waray,Dalawamput isa,Bente Uno
Tagalog-Waray,train,Tagalog,Waray,Kusina,Kusina
Tagalog-Waray,train,Tagalog,Waray,pag-aaral,pag-arám
Tagalog-Waray,train,Tagalog,Waray,Dalawamput anim,Bente Sais
Tagalog-Waray,train,Tagalog,Waray,isip,húna-huna
Tagalog-Waray,train,Tagalog,Waray,Helikopter,Helikopter
Tagalog-Waray,train,Tagalog,Waray,Paniki,Kulalaknit
Tagalog-Waray,train,Tagalog,Waray,Akin,Akon
Tagalog-Waray,train,Tagalog,Waray,Pitumpu,Setenta
Tagalog-Waray,train,Tagalog,Waray,Rosa,Rosas
Tagalog-Waray,train,Tagalog,Waray,Miyerkules,Miyerkoles
Tagalog-Waray,train,Tagalog,Waray,Kompyuter,Kompyuter
Tagalog-Waray,train,Tagalog,Waray,Dalawang buwan,Doha Kabulan
Tagalog-Waray,train,Tagalog,Waray,Anumang,Bisan Ano
Tagalog-Waray,train,Tagalog,Waray,Palengke,Merkado
Tagalog-Waray,train,Tagalog,Waray,oo,oo
Tagalog-Waray,train,Tagalog,Waray,Hekasi,Hekasi
Tagalog-Waray,train,Tagalog,Waray,Aakyat,Pasagka
Tagalog-Waray,train,Tagalog,Waray,Sakit,Ul-Ol
Tagalog-Waray,train,Tagalog,Waray,sayaw,sayaw
Tagalog-Waray,train,Tagalog,Waray,Pagupitan,Paarutan
Tagalog-Waray,train,Tagalog,Waray,pinsan,Patód
Tagalog-Waray,train,Tagalog,Waray,opo,opo
Tagalog-Waray,train,Tagalog,Waray,Ah ganun,Aw Amo
Tagalog-Waray,train,Tagalog,Waray,Pulot pukyutan,Purot-Putyukan
Tagalog-Waray,train,Tagalog,Waray,P,P
Tagalog-Waray,train,Tagalog,Waray,Bakit,Kay Ano
Tagalog-Waray,train,Tagalog,Waray,magaspang,garang-gasang
Tagalog-Waray,train,Tagalog,Waray,Sa,Sa
Tagalog-Waray,train,Tagalog,Waray,Samar,Samar
Tagalog-Waray,train,Tagalog,Waray,Hunyo,Hunyo
Tagalog-Waray,train,Tagalog,Waray,matangkad,hitaas
Tagalog-Waray,train,Tagalog,Waray,Ate,Bugtó Nga Babaye
Tagalog-Waray,train,Tagalog,Waray,Pagkain,Pagkaon
Tagalog-Waray,train,Tagalog,Waray,Adobo,Adobo
Tagalog-Waray,train,Tagalog,Waray,Zamboanga,Zamboanga
Tagalog-Waray,train,Tagalog,Waray,Bus,Bus
Tagalog-Waray,train,Tagalog,Waray,Tatlumpu,Trenta
Tagalog-Waray,train,Tagalog,Waray,limbag,límbag
Tagalog-Waray,train,Tagalog,Waray,Diarrhea,Básyar
Tagalog-Waray,train,Tagalog,Waray,Marso,Marso
Tagalog-Waray,train,Tagalog,Waray,Labing tatlo,Trese
Tagalog-Waray,train,Tagalog,Waray,Pandesal,Pandesal
Tagalog-Waray,train,Tagalog,Waray,B,B
Tagalog-Waray,train,Tagalog,Waray,munti,gutiay
Tagalog-Waray,train,Tagalog,Waray,Isang taon,Sayô Katuig
Tagalog-Waray,train,Tagalog,Waray,Hapunan,Pangiklop
Tagalog-Waray,train,Tagalog,Waray,Dalawamput lima,Bente Singko
Tagalog-Waray,train,Tagalog,Waray,Dalawamput pito,Bente Syete
Tagalog-Waray,train,Tagalog,Waray,Upuan,Silya
