source_text,target_text,language_pair,split,source_lang,target_lang,data_source
Nagalit ang guro dahil hindi kami gumawa ng aming takdang-aralin,Nasina an maestro kay waray kami maghimo han amon asaynment,,train,tgl,war,conversational
Nakalimutan kong bumili ng asukal kaya kailangan kong bumalik sa tindahan sa kanto ngayon din,Hingalimtan ko pagpalit hin asukar sanglit kinahanglan ko bumalik ha tindahan ha kanto yana dayon,,test,tgl,war,conversational
Duro ka ba epektibo / medyo epektibo / neutral / medyo diri epektibo / duro ka ba diri epektibo 5.,"Duro ka epektibo / medyo epektibo / neutral / medyo diri epektibo / duro ka diri epektibo

5.",war-tgl,train,tgl,war,alpaca
malipay na may mga masarap at masarap na vegan na wedge potato!,malipay ha iyo marasa ngan makapahimsog nga vegan nga patatas nga wedge!,war-tgl,train,tgl,war,alpaca
Ang isang mas mataas na rate ng hit ay nagpapakita ng mas mahusay na pagganap ng sistema ng rekomendasyon.,An mas hataas nga hit rate in nagpapakita hin mas maupay nga pagbuhat han sistema han pagrekomendar.,war-tgl,train,tgl,war,alpaca
"Isang bayan ng buhay, pag-ibig at pag-asa, Isang langit na walang hanggan ang walang hanggan.","Usa nga bungto hin kinabuhi, gugma ngan paglaum,
Usa nga kalangitan nga waray katapusan an sakop.",war-tgl,train,tgl,war,alpaca
May nabatian na ako sa aringing wika .,May nabatian nga aringasa .,war-tgl,train,tgl,war,alpaca
Maruruyag hiya mamati hin musika,Maruruyag hiya mamati hin musika,war-tgl,train,tgl,war,alpaca
Tom: Hindi sa susunod.,Tom: Diri pa urhi.,war-tgl,train,tgl,war,alpaca
Hinihintay ko ang aking mga kaibigan dito sa kanto dahil tutulong sila sa aming proyekto sa paaralan.,Ginhihinulat ko an akon kasangkayan dinhi ha kanto kay mabulig hira ha amon proyekto ha eskwelahan.,war-tgl,val,tgl,war,alpaca
"Sa isang algebra test, ang 5x ay isang problema","Ha usa nga test han algebra, mayda 5x nga problema",war-tgl,train,tgl,war,alpaca
Iwasan ang caffeine at alkohol: Ang caffeine at alkohol ay pareho na maaaring magdagdag ng sakit sa katawan.,Likayi an caffeine ngan alkohol: An caffeine ngan alkohol pariho nakakaaghat nga mahimo makadugang han kabaraka.,war-tgl,train,tgl,war,alpaca
Gumawa ng isang hula para sa mga sumusunod na data sa time series.,Paghimo hin prediksyon para han masunod nga datos han serye han oras.,war-tgl,train,tgl,war,alpaca
"Pagmamasid: Ang mga pamamaraan ng pangmamasid ay nagsasangkot ng sistematikong pangmamasid at pagrekord ng mga batas, kaganapan, o iba pang mga kaganapan sa kanilang likas na kalagayan.","Mga Obserbasyon: An mga pamaagi han pag-obserbar nag-uupod han sistematiko nga pag-obserbar ngan pagrekord han mga batasan, panhitabo, o iba pa nga mga panhitabo ha ira natural nga kahimtang.",war-tgl,train,tgl,war,alpaca
Tinapay na bug-os na lugas .,Tinapay nga bug-os nga lugas .,war-tgl,train,tgl,war,alpaca
Masayang makita ang mga lumang kaibigan na bumalik sa probinsya para magdiwang ng pista.,Malipayon makit-an an mga daan nga sangkay nga inmulik ha probinsya basi magselebrar han piyesta.,,train,tgl,war,conversational
kailangan kong magpadala ng pera sa aking mga magulang sa probinsya ngayong tanghali upang ibayad diyan sa kanilang kuryente at tubig.,kinahanglan ko magpadara hin kwarta ha akon mga kag-anak ha probinsya yana nga udto kay para igbayad dida ha ira kuryente ngan tubig.,war-tgl,train,tgl,war,alpaca
Nagsusulat kami upang ipahiwatig sa iyo ang isang napakalaking app na nagbibigay ng real-time na data ng mga pagbotos.,Nagsusurat kami para ipakilala ha iyo an usa nga makaruruyag nga bag-o nga app nga naghahatag hin tinuod nga oras nga datos han pagbotos.,war-tgl,train,tgl,war,alpaca
Huwag Maglakad Sa Baha Nang Walang Suot Na Bota Dahil Baka Ka Mahawa Ng Sakit Mula Sa Dumi Ng Tubig.,Ayaw Paglakat Ha Baha Waray Suot Nga Botas Kay Bangin Ka Matakdan Hin Sakit Tikang Ha Hugaw Han Tubig.,,train,tgl,war,conversational
Ang mga makisangkayon ay hindi dapat tandaan na ang ginkik ay kailangan ng mga ito kapag nag-aalaga,Makisangkayon la nga pahinumdom nga ginkikinahanglan ito kon nagawas kita,war-tgl,train,tgl,war,alpaca
"At ang humigit-kumulang na 70 porsiyento ng mga ginsusopop ay nasa tuna at sa mga karagatan, na sumasalat sa ibabaw ng planeta.","An nahibibilin nga 70 porsyento ginsusupsop han tuna ngan kadagatan, nga nagpapaso han bawbaw han planeta.",war-tgl,val,tgl,war,alpaca
"Ang isang pagmaneho ay tumatagal ng 2-3 oras bawat oras, depende sa trapiko.","An pagmaneho in maabot hin 2-3 ka oras, depende han trapiko.",war-tgl,train,tgl,war,alpaca
"Bayad Ko Po, Pakipasa Na Lang Papunta Sa Drayber Pakiusap.","Bayad Ko Daw, Pakipasa Nala Ngadto Ha Drayber Palihug.",,train,tgl,war,conversational
bag-o ng produkto sa pag-ataman han buhok,bag-o nga produkto ha pag-ataman han buhok,war-tgl,train,tgl,war,alpaca
magdagdag ng mga salitang kulang upang makumpleto ang metapora.,idugang an mga pulong nga kulang para makumpleto an metapora.,war-tgl,train,tgl,war,alpaca
Humingi siya ng paumanhin sa akin dahil sa mga masasakit na salitang kanyang nabitawan.,Nangaro hiya hin pasaylo ha akon tungod han mga makuri nga pulong nga iya nabuhian.,,train,tgl,war,conversational
Ilarawan ang pangunahing mga responsibilidad ng isang CEO.,Ihulagway an panguna nga mga responsabilidad han usa nga CEO.,war-tgl,test,tgl,war,alpaca
Itinago Ko Ang Aking Natirang Pera Sa Loob Ng Bangko Upang May Magamit Ako Sa Oras Ng Pangangailangan.,Gintago Ko An Akon Nahibilin Nga Kwarta Ha Sulod Han Bangko Basi Mayda Ko Magamit Ha Oras Han Panginahanglan.,,train,tgl,war,conversational
May mga espasyo sa desk at maaaring may mga ayat o mga mini-game na kailangang tapusin ng mga manlalaro bago magpatuloy.,Mayda mga espasyo ha pisara nga bangin mayda mga ayat o mga mini-game nga kinahanglan tapuson han mga magdudumara antis magpadayon.,war-tgl,val,tgl,war,alpaca
"At oo, mabuhay si Clara at ang kanyang pamilya sa kapayapaan at kaligayahan, dahil sa kapangyarihan ng Engkanto at Nalamragan ng Buwan, at sa kapangyarihan ng isang tao na nabubuhay.","Ngan amo, nabuhi hi Clara ngan an iya baryo ha kamurayawan ngan kalipay, tungod han mahika han Engkanto nga Nalamragan han Bulan, ngan han gahum han usa la nga hingyap.",war-tgl,val,tgl,war,alpaca
Matamis ang prutas.,Matam-is an prutas.,,train,tgl,war,alpaca
"subalit sinabi ng diyos, â€˜huwag ninyong kakainin ang bunga ng punungkahoy na nasa gitna ng halamanan; huwag din ninyo itong hihipuin, kundi kayo'y mamamatay.â€™â€","labot han kahoy nga aada ha butnga han tanaman. gindid-an kami han dyos hin pagkaon han bunga hito nga kahoy, o bisan pagkamkam hito; kon amon ini pagbuhaton, mapatay kami.â€",,train,tgl,war,conversational
ang planeta na ito ay maaaring mag-iingat sa matalinong buhay!,ini nga planeta may-ada intelihente nga kinabuhi!,war-tgl,test,tgl,war,alpaca
"Sa sarili ng korona at Iroy na Kinaiya, Kung diin libre ang buhay at walang kasamaan ang kaanyag,","Han kalugaringon nga korona ni Iroy nga Kinaiya,
Kun diin libre an kinabuhi ngan hura an kaanyag,",war-tgl,train,tgl,war,alpaca
"1/4 tasa ng mga prutas ng cilantro, tinadtad .","1/4 tasa nga presko nga cilantro, tinadtad .",war-tgl,train,tgl,war,alpaca
c. mga rekomendasyon para sa mga responsable sa paggamit ng social media.,c. mga rekomendasyon para han responsable nga paggamit han social media.,war-tgl,train,tgl,war,alpaca
"Maaaring ito ay may kulang na paksa o salita o hindi ganap na nagpapahayag ng pag-iisip, at ang mga salitang walang mga ito ay maaaring maging ginagamit bilang isang pangungusap.","Bangin kulang ito hin topiko o berbo o diri nagpapahayag hin bug-os nga panhunahuna, ngan salit diri ito mahimo tumindog nga nag-uusahan sugad nga sentensya.",war-tgl,train,tgl,war,alpaca
Tinitiyak ng mga pulis na ligtas ang lahat ng mamamayan sa loob at labas ng barangay.,Ginsisiguro han mga pulis nga talwas an ngatanan nga pumuluyo ha sulod ngan gawas han barangay.,,train,tgl,war,conversational
"Salamat sa pagsama mo sa akin dito sa kanto, mag-ingat ka pauwi","Salamat han pag-iban mo ha akon didhi ha eskina, mag-ikmat ka pauli",,train,tgl,war,conversational
"Nakalimutan kong dalhin ang aking pitaka, pwede ba akong makahiram ng pera pamasahe lang pauwi?","Nahingalimtan ko pagdara han akon pitaka, pwede ba ako makahuram hin kwarta plete la pauli?",war-tgl,train,tgl,war,alpaca
ano ang mga partikular na aspeto na dapat isaalang-alang?,mayda ka ba partikular nga mga bahin nga ginhuhunahuna?,war-tgl,train,tgl,war,alpaca
Nabigla ako nang mabalitaan kong ikakasal na pala sa wakas ang aking matalik na kaibigan.,Nahipausa gud ako han makabati ako nga makakasal na ngay-an ha kataposan an akon duok nga sangkay.,,train,tgl,war,conversational
Kahusay at Pag-ataman han Kalugaringon .,Kahusay ngan Pag-ataman han Kalugaringon .,war-tgl,train,tgl,war,alpaca
Ito ay isang pahayag na sa subtitulo at hindi maaaring i-classify bilang totoo o kasinungalingan.,Ini nga pahayag in suhetibo ngan diri gud pwede igklasipikar nga tinuod o buwa.,war-tgl,train,tgl,war,alpaca
Mabuti Kang Tao.,Buotan Ka Nga Tawo.,,train,tgl,war,conversational
Sara Blakely - Nagtukod han Spanx .,Sara Blakely - Nagtukod han Spanx .,war-tgl,train,tgl,war,alpaca
"Sa kabilang banda, ang mga kasunduan sa libreng kalakalan ay maaaring magpataas ng paglago ng ekonomiya sa pamamagitan ng pagbubukas ng mga bagong merkado para sa mga negosyo sa US.","Ha luyo nga bahin, an mga kasarabutan ha libre nga komersyo in makakapadukwag han pagtubo han ekonomiya pinaagi hin pag-abri hin bag-o nga mga merkado para han mga negosyo han US.",war-tgl,train,tgl,war,alpaca
Isama ang karne ng baboy sa isang plastic bag na maaaring i-slip o i-slip sa pamamagitan ng pag-click.,Ibutang an karne han baboy ha usa nga plastic bag nga pwede igserra utro o surudlan nga may taklob.,war-tgl,train,tgl,war,alpaca
"Caprese Salad - Isang maliit at masarap na salad na gawa sa mga prutas na may mga kamatis, mozzarella, at basil, na may mga masarap na balsam at langis ng oliba.","Caprese Salad - Usa nga magaan ngan makarepresko nga salad nga hinimo tikang ha presko nga kamatis, keso nga mozzarella, ngan basil, nga ginbuburan hin suka nga balsamo ngan lana han olibo.",war-tgl,train,tgl,war,alpaca
Ang artikulo ay tumutukoy sa kung paano nagiging mahalaga ang mga relasyon sa trabaho habang patuloy na nakakaapekto ang teknolohiya sa trabaho.,Ginhihisgotan han artikulo an nagtitikaimportante nga mga relasyon ha trabahoan samtang padayon nga nakakaapekto an teknolohiya ha trabahoan.,war-tgl,train,tgl,war,alpaca
sinigurado niyang nakasaksak ang charger bago siya matulog upang puno ang baterya ng kanyang laptop paggising niya.,ginpanigurado niya nga nakasaksak an charger san-o hiya maturog basi puno an baterya han iya laptop pagmata niya.,,train,tgl,war,conversational
Ito ay isinulat sa APA style.,Ig-unabi ini nga artikulo ha estilo han APA.,war-tgl,train,tgl,war,alpaca
Ang pangalan ng kanyang kapatid ay Jubal. Siya ang ama ng lahat na tumutugtog ng alpa at plauta.,An iya bugto amo hi Jubal nga ginikanan han ngatanan nga mga musikero nga nagtutukar han arpa ngan han plauta.,,train,tgl,war,conversational
mutasyon: ang mutasyon ay isa sa mga pangunahing bahagi ng teoriyang ebolusyon ni darwin.,mutasyon: an mutasyon usa pa nga panguna nga sangkap han teorya ni darwin han ebolusyon.,war-tgl,train,tgl,war,alpaca
"dahil ang 205 ay hindi-parehong, ang dami nito ay maaaring maging 6.","tungod kay an 205 diri-pariho, an kantidad hito magigin 6.",war-tgl,val,tgl,war,alpaca
Ang mga sakit na dulot ng polusyon sa tubig ay lumalaki sa maraming bansa dahil sa mahirap na klima at kawalan ng mabisang mga patakaran.,Nagtikagrabe an mga sakit nga dara han polusyon ha tubig ha damu nga nasud tungod han duro nga kahimtang han klima ngan kakulang hin epektibo nga mga palisiya.,war-tgl,train,tgl,war,alpaca
malaki ang pasasalamat ko sa aking pamilya dahil palagi silang sumusuporta sa akin,dako an pasalamat ko ha akon pamilya kay pirme hira na suporta ha akon,,train,tgl,war,conversational
"Hindi siya nagbayad sa isang customer ng mga produkto, at, dahil dito, humingi siya ng pagbabayad.","Waray malipay an kustomer ha mga produkto, ngan, tungod hito, naghangyo hiya hin pagbalik han kwarta.",war-tgl,train,tgl,war,alpaca
Pag-aalala sa Pag-aalaga ng Kahoy: Ang pag-aani ng mga bagong punungkahoy sa mga lunsod ay maaaring makaapekto sa kalidad ng hangin dahil ang mga punungkahoy ay sumasabit ng carbon dioxide at naglalabas ng oxygen.,Pag-aghat han Pagtanom hin Kahoy: An pagtanom hin bag-o nga mga kahoy ha mga syudad in makakapaupay han kalidad han hangin tungod nga an mga kahoy in nakakasuyop hin carbon dioxide ngan nakakapagawas hin oxygen.,war-tgl,train,tgl,war,alpaca
"Sa Estados Unidos, ang pangulo ang nag-aanyaya ng mga hukom ng Korte Suprema, na nagsisilbi sa buong buhay.","Ha Estados Unidos, an presidente an nagtudlok hin mga hukom han Korte Suprema, nga nagsiserbi ha bug-os nga kinabuhi.",war-tgl,train,tgl,war,alpaca
Hi Darth Vader 5.,"Hi Darth Vader 
5.",war-tgl,train,tgl,war,alpaca
"Pagmamasid sa pag-unlad at paggawa ng mga kinakailangang pagbabago: Patuloy na pagsasaliksik ng pagiging epektibo ng solusyon, at paggawa ng mga pagbabago o pagbabago kung kinakailangan.","Pagbantay han pag-uswag ngan paghimo hin kinahanglanon nga mga pagbag-o: Padayon nga pag-usisa han pagka-epektibo han solusyon, ngan paghimo hin mga pagbag-o o pagbag-o kun kinahanglanon.",war-tgl,train,tgl,war,alpaca
"Pagpapahusay ng oras ng pagtugon: Sinisikap na mabilis na tumugon sa mga pakete at mga reklamo ng mga customer, maging sa pamamagitan ng email, tawag sa telepono, o social media","Pagpauswag han oras han pagbaton: Paningkamot nga mabaton dayon an mga pakiana ngan reklamo han mga kustomer, pinaagi man ini han email, tawag ha telepono, o social media",war-tgl,train,tgl,war,alpaca
"Sa kabaligtaran, ang mga pagkain ng mga Amerikano ay karaniwang nakatuon sa malaking karne at naglilingkod sa bawat isa.","Ha kabaliktaran, an mga pagkaon han mga Amerikano kasagaran nga nakasentro ha daku nga karne ngan iginsisirbe nga tagsa-tagsa.",war-tgl,train,tgl,war,alpaca
Ilang taon ka na ngayong taon na magdiriwang ka ng iyong darating na kaarawan,Pira na an imo edad yana nga tuig nga magseserlebrar ka han imo tiarabot nga kaadlawan,,train,tgl,war,conversational
Ang mga pangunahing hakbang at estratehiya na dapat ipatupad ng kumpanya upang madagdagan ang paglago ng benta ay ang mga sumusunod: 1.,"Adi an mga panguna nga pitad ngan mga estratehiya nga maipatuman han kompanya para madugangan an pagtubo han iya benta:

1.",war-tgl,train,tgl,war,alpaca
"sa tingin ko, mas pakikinabangan ang makinang ito kumpara sa binili mo noong nakaraang taon.","ha akon pag-imud, mas mapulsanon ini nga makina kumpara han imo ginpalit han nakalabay nga tuig.",,train,tgl,war,conversational
"Ang mga lokal na negosyo sa mga nagios ay maaaring maging dahil sa mga regulasyon ng isang partikular na rehiyon, kaya hindi ito napakahirap na sumunod.","An mga lokal nga negosyo in nagios ha sakob han mga regulasyon hin usa nga partikular nga rehiyon, salit diri na gud makuri an pagsunod.",war-tgl,train,tgl,war,alpaca
Pag-aantala: Bigyan ng panahon ang iyong draft upang mabawi ito sa isang bag na may mga plano,"Pahuway: Paghatag hin panahon nga hirayo ha imo draft, basi makabalik ka hito nga may bag-o nga panlantaw",war-tgl,train,tgl,war,alpaca
Tiyaking walang nakikipag-usap o anumang bagay na maaaring mangyari sa panahon ng pulong.,Siguroha nga waray aringasa ha luyo o bisan ano nga mahimo makaulang ha katirok.,war-tgl,train,tgl,war,alpaca
Mayroong isang step-by-step na proseso para sa pag-organisa ng isang partido: 1.,"Adi an pitad-ha-pitad nga proseso para han pag-organisar hin partido:

1.",war-tgl,train,tgl,war,alpaca
igsumat ang kahulugan ng isang salita sa pamamagitan ng isang metapora.,igsumat an kahulogan han usa nga metapora.,war-tgl,train,tgl,war,alpaca
Sumaryo at kahalagahan ng agham ng data sa negosyo.,Sumaryo an importansya han syensya han datos ha negosyo.,war-tgl,train,tgl,war,alpaca
"Teksto: Sumaryo ng mga resulta ng proyekto, na nagpapakita ng tagumpay nito sa pagsasagawa ng mga layunin at mga tungkulin.","Teksto: Sumaryo han mga resulta han proyekto, nga nagpapakita han kalampusan hini ha pagtuman han mga panuyo ngan mga panuyo hini.",war-tgl,test,tgl,war,alpaca
"Para kumonekta sa Wi-Fi network ""Home-Network"" sa password na ""abc123"", sundin ang mga hakbang: 1.","Para makonekta sa Wi-Fi network ""Home-Network"" sa password nga ""abc123"", sunda ang mga lakang:

1.",war-tgl,train,tgl,war,alpaca
"Ang tanong ay titling ""Puwede ba akong mag-bully sa aking trabaho?""","An ginhatag nga tudling ""Pwede ba niyo ako buligan han akon buruhaton?""",war-tgl,train,tgl,war,alpaca
Ang kabisera ng Espanya ay ang Madrid.,An kapital han Espanya amo an Madrid.,war-tgl,train,tgl,war,alpaca
"Pag-ipit - Ang mga piraso ng mga bagay na ginawa ng mga tela, kopya, at kulay sa isang pangunahing paggamit.","Pag-ipit - An mga piraso nga gin-ipit nga mayda ginhalo nga mga tela, mga kopya, ngan kolor in usa nga panguna nga uso.",war-tgl,train,tgl,war,alpaca
"Gayunman, ang pag-iral ng kalayaan sa pagpili ay pa rin ang paksa ng maraming debate, habang ang mga siyentipiko, pilosopo, at teologo ay patuloy na nagsisiyasat sa kalikasan ng kalayaan at pagpili ng tao","Kondi, an pag-eksister han kagawasan ha pagbuot sakop pa gihapon han damu nga mga debate, samtang an mga syentista, mga pilosopo, ngan mga teologo padayon nga nag-uusisa han kinaiya han kagawasan ngan pagpili han tawo",war-tgl,train,tgl,war,alpaca
Naubos Agad Ang Tinapay Dahil Nagutom Ang Lahat Dahil Sa Puyat.,Naubos Dayon An Tinapay Kay Ginutom An Ngatanan Tungod Han Puyat.,,val,tgl,war,conversational
Nasiring an akon maestra nag-uuswag ako.,Nasiring an akon maestra nag-uuswag na ako.,war-tgl,train,tgl,war,alpaca
Nasaan Na Ba Ang Mga Kasama Mo Kanina Noong Umalis Kayo Dito?,Hain Na Ba An Imo Mga Kaupod Kanina Han Iyo Pag-Iwas Dinhi?,,val,tgl,war,conversational
Kailangan niyang uminom ng kanyang medisina tuwing alas-onse ng umaga upang hindi umatake ang kanyang sakit sa puso.,Kinahanglan niya umimom han iya medisina kada onse han aga basi diri umatake an iya sakit ha kasing-kasing.,war-tgl,train,tgl,war,alpaca
Dinala Siya Nang Mabilis Sa Ospital Dahil Sa Napakataas Na Lagnat At Ubo.,Gindara Hiya Madagmit Ha Ospital Tungod Han Hitaas Gud Nga Kalatgon Ngan Ubo.,,train,tgl,war,conversational
Sila Ang Aking Mga Bagong Nakilala Roon Sa Paaralan At Palagi Kaming Nagtutulungan Sa Isa'T Isa Sa Mga Leksyon.,Hira An Akon Mga Bag-O Nga Nakilala Didto Ha Eskwelahan Ngan Pirme Kami Nabulig Ha Usag-Usa Ha Mga Leksyon.,,val,tgl,war,conversational
Natuwa Ang Buong Klase Nang Ipaalam Na Matutuloy Ang Aming Field Trip.,Nalipay An Bug-Os Nga Klase Han Ginpahibaro Nga Madayon An Amon Field Trip.,,train,tgl,war,conversational
Kinakailangan ang wastong ebidensya bago natin siya husgahan tungkol sa nawawalang pera sa loob ng paaralan.,Ginkikinahanglan an husto nga ebidensya san-o naton hiya husgahan parti han nawawara nga kwarta ha sulod han eskwelahan.,,val,tgl,war,conversational
mag-isip ng mga bagay na may mga pamagat na naka-imbento sa susunod na paksa ng artikulo .,paghimo hin mamugnaon nga ulohan nga gintagan han masunod nga topiko han artikulo .,war-tgl,train,tgl,war,alpaca
Pagbalhin ng mga masunod na tudling ngadto sa baboy sa Latin.,Pagbalhin han masunod nga tudling ngadto hin baboy nga latin.,war-tgl,train,tgl,war,alpaca
kailangan kong plantsahin ang aking mga damit para sa buong linggo upang wala na akong iisipin kapag umaga.,kinahanglan ko plantsahon an akon mga bado para ha bug-os nga semana basi waray na ako hunahunaon kon aga.,,train,tgl,war,conversational
"dahil dito, ang mga negosyo ay maaaring maging mas madaling umangkop sa mga pagbabago sa pangangailangan at maging mapagkumpitensya.","tungod hini, an mga negosyo madagmit nga nakakapahiuyon ha mga pagbag-o han panginahanglan ngan nakakadungan ha kompetisyon.",war-tgl,train,tgl,war,alpaca
Ang isang batang babae na may mga magulang ay hindi maaaring maglaro ng anumang instrumento.,Usa nga batan-on nga babaye an gintatagan hin hingyap nga makagtokar hiya hin bisan ano nga instrumento.,war-tgl,train,tgl,war,alpaca
"Ang nasasaktan, ang nawawala at nalulungkot","An nasisinahan, an nabi-an nabibidu-an",,train,tgl,war,conversational
Madali lang talaga matapos ito kung lahat tayo ay magtutulungan ngayon,Masayon la gud ini matapos kon ngatanan kita magbuburublig yana,,train,tgl,war,conversational
Mga mata sa gabi at mga mata sa hangin .,Mapaso nga mga gab-i ngan matam-is nga mga hamot ha hangin .,war-tgl,train,tgl,war,alpaca
Ang pag-aalaga ay hindi isang pag-aalaga na nagpapahirap sa emosyon,Paghimo hin tudling nga nagpapabug-at hin emosyon,war-tgl,val,tgl,war,alpaca
pag-aaprubahan ng hindi tama: ang mga propesyonal ay hindi pa pinili at ang mga ito ay dapat na maging ang pinuno ng kumpanya.,pagbado hin sakto: pagpili hin bado nga propesyonal ngan angay ha pamado han kompanya.,war-tgl,train,tgl,war,alpaca
"Transportasyon: Ang isang pamilya sa Maglalain ay nagbabayad ng $3,600 bawat taon o $300 bawat buwan para sa mga gastos sa transportasyon, kasama ang pagbabayad ng sasakyan, gasolina, at pagmimina.","Transportasyon: An pamilya in maglalain hin $3,600 kada tuig o $300 kada bulan para han mga gastos ha transportasyon, upod na an pagbayad han sarakyan, gas, ngan pagmintinar.",war-tgl,train,tgl,war,alpaca
Sinabi niya sa akin na mas maganda ang buhay kung palagi kang mapagkumbaba sa iyong kapwa,Ginsugad niya ha akon nga mas maupay an kinabuhi kon pirme ka mapainubsanon ha imo igkasi,,val,tgl,war,conversational
Topiko: Sosyal nga Media,Topiko: Sosyal nga Media,war-tgl,train,tgl,war,alpaca
Liko sa kaliwa.,Liko dapit ha wala.,,train,tgl,war,alpaca
"sa kabilang banda, ang mga orbit ng mga bituin sa mga elliptical galaxy ay mas matigas at hindi planar.","ha luyo nga bahin, an paglibot han mga bitoon ha eliptikal nga mga galaksi mas masamok gud ngan diri-planado.",war-tgl,train,tgl,war,alpaca
Nawala ang signal ng aking selpon kaya hindi ako makatawag,Nawara an signal han akon selpon sanglit diri ako makatawag,,train,tgl,war,conversational
Ano ang ginagawa mo?,Ano an imo ginbubuhat?,,train,tgl,war,alpaca
pinaalalahanan ako ng nars na inumin ang gamot tatlong beses sa isang araw pagkatapos na pagkatapos kumain.,ginpahinumdoman ako han nars nga imnon an tambal tulo ka beses ha usa ka adlaw kahuman la pagkaon.,,train,tgl,war,conversational
cilantro - hipon o iba pang mga protina na gusto mo.,"cilantro
- hipon o iba pa nga protina nga imo karuyag .",war-tgl,train,tgl,war,alpaca
"Ito ay sinuri sa mga bagay na tulad ng mga kasangkapan, bado o mga garamiton.","Iklasipikar ini nga mga butang komo mga muwebles, bado o mga garamiton.",war-tgl,train,tgl,war,alpaca
Narito ang isang simpleng plano para sa isang sistema na may isang pakete na pagbabayad: 1.,"Adi an simple nga plano para hin sistema han pagbaton hin pakiana:

1.",war-tgl,train,tgl,war,alpaca
"Ang pangalawang pag-aangkin ng ""pag-aangkin ng mga pagkain"" ay nagbibigay ng dahilan ng mga aksyon na inihula sa mga pahina ng klausula.","An ikaduha nga naglulugaring nga clause ""tungod han mahal nga pagkaon"" in naghahatag han rason han aksyon nga gin-unabi ha syahan nga clause.",war-tgl,train,tgl,war,alpaca
kilalaha an imo estilo hin pag-aram: iba-iba an pag-aram han kada isa.,kilalaha an imo estilo hin pag-aram: iba-iba an pag-aram han kada tagsa.,war-tgl,train,tgl,war,alpaca
Sinabi ng doktor na dapat akong magpahinga ng ilang araw upang gumaling,Nagsiring an doktor nga dapat ako magpahuway hin pira ka adlaw basi maulian,,train,tgl,war,conversational
Tapos na akong kumain.,Tapos na ako kumaon.,,train,tgl,war,alpaca
naanyayahan kami sa isang kasal na gaganapin sa simbahan ngayong sabado.,naimbitar kami ha usa nga kasal nga pagbubuhaton ha simbahan yana nga sabado.,war-tgl,train,tgl,war,alpaca
