source_text,target_text,language_pair,split,source_lang,target_lang
Mas pinili naming maglakad na lang upang makatipid kami ng pamasahe sa sasakyan dahil malapit lang naman ang palengke.,Mas ginpili namon maglakat nala basi makatipig kami han plete ha sarakyan kay harani la man an merkado.,war-tgl,train,tgl,war
Masakit talaga ang aking tiyan kaya hindi muna ako makakasama sa inyong pinlanong lakad ngayong araw.,Masakit gud an akon tiyan sanglit diri anay ako makakaupod ha inyo ginplano nga lakaw yana nga adlaw.,war-tgl,train,tgl,war
Mas pinili niya ang manatili sa probinsya dahil mas sariwa ang hangin dito at tahimik ang paligid kaysa lungsod.,Mas ginpili niya an magpabilin ha probinsya kay mas presko an hangin didhi ngan mamingaw an palibot kaysa syudad.,war-tgl,train,tgl,war
Nagplano kaming kumain sa isang restawran bukas upang ipagdiwang ang anibersaryo.,Nagplano kami nga mangaon ha usa nga restawran buwas basi igselebrar an anibersaryo.,war-tgl,train,tgl,war
"Handa na ang ating almusal diyan sa mesa, kumain na kayo.","Andam na an aton pamahaw dida ha lamesa, pangaon na kamo.",war-tgl,train,tgl,war
Puno na ba talaga iyang pampasaherong sasakyan na papuntang Tacloban dahil puwede pa naman sana akong pumasok doon?,Puno na ba gud iton pampasahero nga sarakyan nga pa-Tacloban kay puyde pa man unta ako sumulod didto?,war-tgl,train,tgl,war
Masarap at sariwa pa talaga itong isda dahil bago pa lang ito dinala ng mga mangingisda mula sa dagat.,Marasa ngan presko pa gud ini nga isda kay bago pa la ini guin-dara han mga mangingisda tikang ha dagat.,war-tgl,train,tgl,war
Puno na ang jeep.,Puno na an jeep.,war-tgl,train,tgl,war
Masarap talaga itong kapeng inihanda mo para sa akin ngayon.,Marasa gud ini nga kape nga gin-andam mo para ha akon yana.,war-tgl,train,tgl,war
Malakas ang hangin dito sa labas kaya isara na ang mga bintana.,Makusog an hangin dinhi ha gawas sanglit isara na an mga bintana.,war-tgl,train,tgl,war
Masayang kumukuha ng mga litrato ang mga turista habang nililibot nila ang lumang simbahan sa aming bayan.,Malipayon nga nagkukuha hin mga litrato an mga turista samtang ginlilibot nira an karaan nga simbahan ha amon bungto.,war-tgl,train,tgl,war
Puwedeng magtanong?,Pwede mangutana?,war-tgl,train,tgl,war
Nagalit ang guro dahil hindi kami gumawa ng aming takdang-aralin.,Nasina an maestro kay waray kami maghimo han amon asaynment.,war-tgl,train,tgl,war
"Maligayang kaarawan sa iyo, nawa'y bigyan ka pa ng maraming taon.","Malipayon nga kaadlawan ha imo, hinaot unta nga tagaan ka pa hin damo nga tuig.",war-tgl,train,tgl,war
Mabilis siyang makaintindi ng leksyon.,Malaksi hiya makasabot han leksyon.,war-tgl,train,tgl,war
Malaki ang nagastos ko ngayon dahil marami akong biniling kinakailangan sa bahay.,Dako an akon nagastos yana kay damo an ginpalit ko nga kinahanglanon ha balay.,war-tgl,train,tgl,war
Halos mamatay na ang mga isda sa ilog dahil sa duming itinatapon ng pabrika doon sa unahan ng bayan.,Haros mamatay na an mga isda ha salog tungod han hugaw nga ginlalabay han pabrika didto ha unhan han bungto.,war-tgl,train,tgl,war
Palagi silang nagkikita ng kanyang mga kaklase upang pag-aralan ang mahirap na leksyon sa matematika.,Pirme hira nagkikita han iya mga klasmeyt basi pag-adman an makuri nga leksyon ha matematika.,war-tgl,train,tgl,war
Hindi talaga siya napapagod kahit mahirap ang trabaho para lang makapagbigay ng magandang kinabukasan sa kanila.,Diri gud hiya napapoy bisan makuri an trabaho basi la makapaghatag hin mag-opay nga kinabukasan ha ira.,war-tgl,train,tgl,war
Isinauli niya agad ang payong na kanyang hiniram sa akin dahil alam niyang magagamit ko ito ngayon na umuulan.,Igin-uli niya dayon an payong nga iya ginhuram ha akon kay maaram hiya nga magagamit ko ini yana nga nauran.,war-tgl,train,tgl,war
"Tinawagan ko siya ngunit ""cannot be reached"" ang linya.","Gintawagan ko hiya kundi ""cannot be reached"" an linya.",war-tgl,train,tgl,war
Nakipag-usap siya sa akin tungkol sa kanilang bagong proyekto na itatayo sa gitna ng ating malaking lungsod.,Nakig-istorya hiya ha akon mahiunong han ira bag-o nga proyekto nga igpapatindog ha butnga han aton dako nga syudad.,war-tgl,train,tgl,war
Nakapasa siya sa pagsusulit dahil sa kanyang matinding pag-aaral at walang-tigil na pagbabasa sa library tuwing hapon.,Nakapasar hiya ha pasulit tungod han iya duro nga pag-aram ngan waray-hunong nga pagbasa ha library kada kulop.,war-tgl,train,tgl,war
Nakiusap siya sa drayber na bagalan ang pagpapatakbo dahil nahihilo siya at nagsusuka dahil sa dami ng kurbada sa daan papunta sa bundok.,Ginhangyo niya an drayber nga pahinayan an pagpadalagan kay nahahalipong hiya ngan nagkakasuka tungod han damo nga kurbada ha dalan pakadto ha bukid.,war-tgl,train,tgl,war
Maraming prutas sa aming hardin.,Damo an prutas ha amon hardin.,war-tgl,train,tgl,war
Nakakaramdam ako ng pangungulila tuwing nakikita ko ang mga litrato ng aking ina na sumakabilang-buhay na.,Nakakaabat ako hin kamingaw kada nakikita ko an mga litrato han akon iroy nga nagkamatay na.,war-tgl,train,tgl,war
"Magandang hapon, pwede ba akong dumaan sa inyong bahay sandali?","Maupay nga kulop, pwede ba ako dumaop ha iyo balay hin kadali?",war-tgl,train,tgl,war
Natuwa talaga ako na nagkita tayo muli rito sa bayan.,Nalipay gud ako nga nagkita kita utro dinhi ha bungto.,war-tgl,train,tgl,war
Nawa'y ligtas kayo roon sa inyo ngayong gabi.,Hinaot unta nga talwas kamo didto ha inyo yana nga gab-i.,war-tgl,train,tgl,war
Pwede ba akong humingi ng kopya ng iyong ginawang dokumento?,Pwede ba ako makaaro hin kopya han imo gin-himo nga dokumento?,war-tgl,train,tgl,war
Nagplano ang aming paaralan na gumawa ng field trip sa mga sikat na lugar at museo sa loob ng Maynila.,Nagplano an amon eskwelahan nga maghimo hin field trip ha mga sikat nga lugar ngan museo ha sulod han Manila.,war-tgl,train,tgl,war
Mas pinili kong maghanap ng trabaho sa probinsya upang malapit ako sa aking mga magulang.,Mas ginpili ko nga mamiling hin trabaho ha probinsya basi harani ako ha akon mga kag-anak.,war-tgl,train,tgl,war
Gusto kong mag-isa muna upang makapagnilay sa aking mga desisyon.,Karuyag ko mag-usaan anay basi makapamalandong han akon mga desisyon.,war-tgl,train,tgl,war
Huwag mong kalimutang magdala ng payong dahil baka biglang umulan habang tayo ay naglalakad.,Ayaw hingalimti magdara hin payong kay bangin tigda umuran samtang kita naglalakat.,war-tgl,train,tgl,war
Mas pinili niya ang manatili sa probinsya dahil mas sariwa ang hangin dito.,Mas ginpili niya an magpabilin ha probinsya kay mas presko an hangin didhi.,war-tgl,train,tgl,war
Pilit niyang inaayos ang sirang radyo upang mayroon silang mapakinggang musika.,Pirit niya nga gin-aayad an guba nga radyo basi mayda hira mapamatian nga musika.,war-tgl,train,tgl,war
Mabilis na kumalat ang balita tungkol sa pagkakapanalo ng ating kababayan sa patimpalak sa ibang bansa.,Madagmit nga kumalat an sumat mahiunong han pagdaog han aton igkasi-Pilipino ha pabilibay ha iba nga nasud.,war-tgl,train,tgl,war
Sinigurado niyang nakadala siya ng sapat na pera at mga mahalagang dokumento bago siya umalis patungo sa malaking lungsod ng Cebu.,Ginpanigurado niya nga nakadara hiya hin igo nga kwarta ngan mga importante nga dokumento san-o hiya lumarga pakadto ha dako nga syudad han Cebu.,war-tgl,train,tgl,war
Buksan mo iyang bintana.,Pag-abre hiton bintana.,war-tgl,train,tgl,war
Bunso mo ba o kuya?,An imo manghod ba o manong?,war-tgl,train,tgl,war
Pupunta kami sa Boracay sa susunod na buwan upang ipagdiwang ang aming ikasampung anibersaryo ng kasal.,Makadto kami ha Boracay ha sunod nga bulan basi igselebrar an amon ikapulo nga anibersaryo han kasal.,war-tgl,train,tgl,war
Maaga talaga akong nagising ngayon upang makapagluto ng masarap na almusal para sa aking asawa bago siya pumasok sa opisina.,Sayo gud ako minmata yana basi makaluto hin marasa nga pamahaw para ha akon asawa san-o hiya sumulod ha opisina.,war-tgl,train,tgl,war
Nagustuhan ko ang kanyang bagong damit dahil bagay na bagay ito sa kanyang balat at porma ng katawan.,Naruyagan ko an iya bag-o nga bado kay angay gud ini ha iya pamanit ngan porma han lawas.,war-tgl,train,tgl,war
"At sinabi nila sa isa't isa, ""Halikayo! Tayo'y gumawa ng mga tisa at ating lutuing mabuti."" At ang kanilang bato ay tisa at alkitran ang kanilang semento.","Naggipasiringsiring hira, ""Tana, paghimo kita hin mga baldosa ngan banggaha ta hin maupay basi magmatig-a ini hin duro."" Sanglit nagkamay-ada hira mga baldosa nga igtirindog ngan alkitran hin pagturugkop han mga baldosa.",war-tgl,train,tgl,war
Madilim ang langit.,Madulom iton langit.,war-tgl,train,tgl,war
Gusto naming gumawa ng malaking hardin sa likod ng bahay dahil hilig ng aming lola ang mga halaman.,Karuyag namon maghimo hin dako nga hardin ha luyo han balay kay hilig han amon lola an mga tanaman.,war-tgl,train,tgl,war
"Pakiusap, umusad naman.",Alayon la pag-usad.,war-tgl,train,tgl,war
Ipinagbawal ng doktor na kumain ako ng matatamis dahil tumataas ang aking asukal sa dugo.,Ginbawal han doktor nga kumaon ako hin matam-is kay nahitaas an akon asukar ha dugo.,war-tgl,train,tgl,war
"Malakas na naman ang ihip ng hangin mula sa dagat, senyales na baka bumuhos ang malakas na ulan.","Makusog na naman an huyop han hangin tikang ha dagat, senyales nga bangin bumunok an dako nga uran.",war-tgl,train,tgl,war
Mag-ingat ka palagi sa iyong mga lakad dahil maraming sasakyan sa labas ngayon.,Pag-ikmat pirme ha imo mga lakaw kay damo an sarakyan ha gawas yana.,war-tgl,train,tgl,war
Marami ang ibinigay na trabaho ng aming guro ngayong araw kaya gabi na ako nakauwi sa bahay.,Damo an ginhatag nga trabaho han amon maestro yana nga adlaw sanglit gab-i na ako nakauli ha balay.,war-tgl,train,tgl,war
Isinauli niya agad ang librong kanyang hiniram sa library dahil baka dumating ang deadline.,Igin-uli niya dayon an libro nga iya ginhuram ha library kay bangin umabot an deadline.,war-tgl,train,tgl,war
Napakahusay ng ginawang pagtatanghal ng mga mag-aaral kaya binigyan sila ng masigabong palakpakan.,Kamaupay gud han ginbuhat nga pagpakita han mga estudyante sanglit gintagan hira hin makusog nga pakpak.,war-tgl,train,tgl,war
Itinago ko ang aking pera sa bangko upang mayroon akong mabilis na magamit sa oras ng malaking pangangailangan.,Gintago ko an akon kwarta ha bangko basi mayda ko madagmit nga magamit ha oras han dako nga panginahanglan.,war-tgl,train,tgl,war
Hinugasan niyang mabuti ang mga test tube sa laboratoryo bago siya umuwi sa kanilang bahay.,Ginhugasan niya hin maupay an mga test tube ha laboratoryo san-o hiya umuli ha ira balay.,war-tgl,train,tgl,war
Tinulungan ko ang aking kapatid na mag-download ng aplikasyon na makakatulong sa kanyang pag-aaral ng wika.,Ginbuligan ko an akon bugto nga mag-download hin aplikasyon nga makakabulig ha iya pag-aram hin lenggwahe.,war-tgl,train,tgl,war
Pumunta sila sa dagat kahapon para magdiwang ng kaarawan ng kanilang bunsong anak.,Kumadto hira ha dagat kakulop basi magselebrar han kaadlawan han ira puto nga anak.,war-tgl,train,tgl,war
Hindi talaga makakapasok ang aking anak sa klase ngayon dahil mayroon siyang mataas na lagnat at patuloy ang kanyang pag-ubo simula kagabi ng madaling araw.,Diri gud makakapasok an akon anak ha klase yana kay mayda hiya hitaas nga kalatgon ngan padayon an iya inubo tikang kagab-i han madlaw.,war-tgl,train,tgl,war
Saan ka dapit?,Hain ka dapit?,war-tgl,train,tgl,war
Nakatanggap kami ng imbitasyon para sa kasal ng aking kaibigan na gaganapin sa susunod na buwan.,Nakakarawat kami hin imbitasyon para ha kasal han akon sangkay nga pagbubuhaton ha sunod nga bulan.,war-tgl,train,tgl,war
Magpapahinga lang ako ng kaunti bago ko simulan ang paghuhugas ng tambak na pinggan.,Mapahuway la ako hin gutiay san-o ko tikangan an paghugas han damo nga pinggan.,war-tgl,train,tgl,war
Gusto niyang matutong magsalita ng Ingles upang maging madali ang kanyang pagbiyahe at pagtatrabaho sa labas ng bansa.,Karuyag niya mahibaro pagyakan hin Ingles basi magin masayon an iya pagbyahe ngan pagtrabaho ha gawas han nasud.,war-tgl,train,tgl,war
Kailangan niyang dumalo sa pulong ngayon upang malaman ang mga bagong polisiya na ipapatupad ng gobyerno sa susunod na buwan.,Kinahanglan niya mag-atendir han miting yana basi mahibaroan an mga bag-o nga polisiya nga igpapatuman han gobyerno sunod bulan.,war-tgl,train,tgl,war
Lagi kong iniisip ang aking pamilya.,Hinunahuna ko an akon pamilya permi.,war-tgl,train,tgl,war
Nais niyang makapunta sa iba't ibang bansa sa Asya upang malaman ang kanilang mga kultura at matikman ang kanilang mga iba't ibang pagkain.,Karuyag niya makakadto ha iba-iba nga nasud ha Asya basi mahibaroan an ira mga kultura ngan makatilaw han ira mga magkalain-lain nga pagkaon.,war-tgl,train,tgl,war
"Tapos na tayong kumain, linisin na natin ang mesa.","Tapos na kita mangaon, limpyohan na naton an lamesa.",war-tgl,train,tgl,war
Siniguro naming ligtas na nakatawid ang matandang lalaki sa malapad na kalsada.,Ginsigurado namon nga talwas nga nakatabok an lagas nga lalaki ha malapad nga kalsada.,war-tgl,train,tgl,war
"Sinabi nila, ""Halikayo! Magtayo tayo ng isang lunsod at isang tore na ang taluktok nito ay hanggang sa langit, at gumawa tayo ng pangalan para sa ating mga sarili, baka tayo magkawatak-watak sa ibabaw ng buong lupa.""","Nagsiring hira, ""Yana pagtindog kita hin usa nga syudad nga may-ada lantawan nga maabot ha langit, basi makaangkon kita hin ngaran para ha aton kalugaringon ngan diri kita magsarang ha bug-os nga tuna.""",war-tgl,train,tgl,war
Halos hindi ko na talaga siya makilala dahil malaki na ang nagbago sa kanyang hitsura simula noong huli kaming magkita noong nakaraang taon.,Haros diri ko na gud hiya makilal-an kay dako na an nagbag-o ha iya hitsura tikang han urhi kami nga magkita han una nga tuig.,war-tgl,train,tgl,war
Kailangan kong bumili ng pandesal sa kanto bago maubusan ng tinda ang panadero.,Kinahanglan ko pumalit hin pandesal ha kanto san-o maubusan hin tinda an panadero.,war-tgl,train,tgl,war
Sige na lang.,Sige nala.,war-tgl,train,tgl,war
Ipinagtapat niya sa akin ang kanyang tunay na nararamdaman bago siya tuluyang umalis.,Iginsumat niya ha akon an iya tinuod nga inaabat san-o hiya tuluyan nga lumakat.,war-tgl,train,tgl,war
Linisin mo ang iyong sapatos bago ka pumasok muli rito sa ating bahay.,Limpyohi an imo sapatos san-o ka sumulod utro dinhi ha aton balay.,war-tgl,train,tgl,war
Mura na lang ito.,Barato na la ini.,war-tgl,train,tgl,war
Nawa'y magpatuloy ang ating pagkakaibigan kahit na magkalayo tayo sa isa't isa at parehong abala.,Hinaot unta nga magpadayon an aton pagkakasangkay bisan kon hirayo kita ha usag-usa ngan pareho nga busy.,war-tgl,train,tgl,war
Kailangan niyang mag-ipon ng pera upang makabili siya ng bagong laptop para sa eskwela.,Kinahanglan niya mag-ipon hin kwarta basi makapalit hiya hin bag-o nga laptop para ha eskwela.,war-tgl,train,tgl,war
Huwag kang magsalita kung may laman pang pagkain ang iyong bibig.,Ayaw pag-inistorya kon may sulod pa nga pagkaon an imo baba.,war-tgl,train,tgl,war
Matagal na siyang nagtitiis sa sakit na ito kaya palagi kaming nagdadasal para sa kanya.,Maiha na hiya nga naantos hini nga sakit sanglit pirme kami nag-aampo para ha iya.,war-tgl,train,tgl,war
Hindi ako makakatulog agad dahil nakainom ako ng kape kanina.,Diri ako makakaturog dayon kay nakainom ako hin kape kanina.,war-tgl,train,tgl,war
Siniguro ng kapitan na walang makakapasok na estranghero diyan sa aming barangay.,Ginpanigurado han kapitan nga waray makakasulod nga estranghero dida ha amon barangay.,war-tgl,train,tgl,war
Gusto niyang malaman ang tunay na dahilan kung bakit biglang umalis ang kanyang kasama.,Karuyag niya mahibaroan an tinuod nga hinungdan kon kay ano nga tigda linmakat an iya kaupod.,war-tgl,train,tgl,war
Hindi nila maintindihan kung bakit palagi siyang nag-iisa sa kanto ng kwarto.,Diri nira nasasabtan kon kay ano nga pirme hiya nag-uusaan ha kanto han kwarto.,war-tgl,train,tgl,war
Nakakaramdam ako ng lamig kapag gabi lalo na kung nagsisimula na ang buwan ng Disyembre.,Nakakaabat ako hin kahagkot kon gab-i labi na kon nagtitikang na an bulan han Disyembre.,war-tgl,train,tgl,war
Sino ka?,Hin-o ka?,war-tgl,train,tgl,war
"Aalis na kami, maraming salamat sa inyong pagtanggap sa amin.","Makadto na kami, salamat hin duro han iyo pag-abi-abi ha amon.",war-tgl,train,tgl,war
Huwag kang magbubukas ng mga walang kasiguraduhang link sa email dahil baka ma-hack ang iyong personal na account.,Ayaw pag-inabre hin mga waray kasiguruhan nga link ha email kay bangin ma-hack an imo personal nga account.,war-tgl,train,tgl,war
"Sa kanilang paglalakbay sa silangan, nakatagpo sila ng isang kapatagan sa lupain ng Shinar, at sila'y tumira doon.","Samtang nagtitipakadto hira ha sinirangan, nahingadto hira ha kapatagan didto ha Babilonia ngan didto hira pag-ukoy.",war-tgl,train,tgl,war
Mabilis ang takbo ng sasakyan kaya kinabahan ako habang nakasakay.,Makusog an dalagan han sarakyan sanglit kinulbaan ako samtang nakasakay.,war-tgl,train,tgl,war
Mas hinihikayat ang mga tao na magtanim ng gulay upang makatipid sa pagkain.,Mas gin-aaghat an mga tawo nga magtanom hin utanon basi makatipig ha pagkaon.,war-tgl,train,tgl,war
Maraming ibinigay na takdang-aralin ang aming guro kaya hindi muna ako makakapaglaro sa labas.,Damo an iginhatag nga asaynment han amon magturutdo sanglit diri la anay ako makakauyag ha gawas.,war-tgl,train,tgl,war
Binigyan niya ako ng ilang pirasong kendi upang mayroon akong makain habang naghihintay ng sasakyan pauwi.,Gintagan niya ako hin pira ka piraso nga kendi basi mayda ko makaon samtang naghuhulat han sarakyan pauli.,war-tgl,train,tgl,war
Kailangan nating maging maingat sa pagbibigay ng ating personal na impormasyon diyan sa mga walang kasiguraduhang website.,Kinahanglan naton magin maingat ha paghatag han aton personal nga impormasyon dida ha mga waray kasiguruhan nga website.,war-tgl,train,tgl,war
Malaki ang aking pasasalamat sa kanila dahil hindi talaga sila umalis sa akin sa kahirapan.,Dako an akon pasalamat ha ira kay waray gud hira bumaya ha akon ha kakuri.,war-tgl,train,tgl,war
Nawala ang koneksyon ng internet kaya hindi ako makakapagpadala nitong mensahe sa iyo.,Nawara an koneksyon han internet sanglit diri ako makakagpadara hini nga mensahe ha imo.,war-tgl,train,tgl,war
"Huwag kang mag-alala, walang kaso iyon dahil ngayon pa lang nagsimula ang pulong.","Ayaw kabaraka, waray ito kaso kay yana pa man nagtikang an miting.",war-tgl,train,tgl,war
Kinakailangan ang wastong pag-ehersisyo upang maiwasan ang sakit sa bato.,Ginkikinahanglan an husto nga pag-ehersisyo basi malikyan an sakit ha bato.,war-tgl,train,tgl,war
Bakit ka ba laging nagmamadali tuwing pupunta ka sa opisina?,Kay ano nga pirme ka nagdadagmit kada kakadto mo ha opisina?,war-tgl,train,tgl,war
Napakagandang pagmasdan ang mga bituin sa langit kapag malinaw ang gabi dito sa probinsya.,Mahusay gud pagkit-on an mga bitoon ha langit kon matin-aw an gab-i dinhi ha probinsya.,war-tgl,train,tgl,war
Nakilala niya ang kanyang asawa sa isang seminar tungkol sa edukasyon ilang taon na ang nakalipas.,Nakilala niya an iya asawa ha usa nga seminar mahiunong han edukasyon pira ka tuig an nakalabay.,war-tgl,train,tgl,war
Hindi niya maintindihan ang mga salita sa Ingles kaya gumagamit siya ng diksyonaryo.,Diri niya maintindihan an mga kayakan ha Ingles sanglit nagamit hiya hin diksyonaryo.,war-tgl,train,tgl,war
"Gagawin ko ang aking ""pull day"" routine sa gym ngayon matapos kong mag-aral sa library.","Bubuhaton ko an akon ""pull day"" routine ha gym yana kahuman ko mag-aram ha library.",war-tgl,train,tgl,war
Ubos na ang aming suplay ng mantika kaya bibili ako ng bago sa tindahan.,Ubos na an amon suplay han mantika sanglit mapalit ako hin bag-o ha tindahan.,war-tgl,train,tgl,war
Kakain tayo sa isang sikat na restawran na naghahain ng mga tradisyunal at masasarap na pagkaing Pilipino.,Makaon kita ha usa nga sikat nga restawran nga nagseserbi hin mga tradisyonal ngan marasa nga pagkaon nga Pilipino.,war-tgl,train,tgl,war
Marunong ka bang magsalita at umintindi ng wikang Ingles at Tagalog?,Maaram ka ba magyakan ngan makaintindi hin Iningles ngan Tagalog?,war-tgl,train,tgl,war
Sino iyong kasama mo kahapon?,Hin-o iton imo kaupod kahapon?,war-tgl,train,tgl,war
Pinuri ng mga bisita ang magandang dekorasyon ng aming bahay para sa pista.,Gindayaw han mga bisita an mahusay nga dekorasyon han amon balay para ha piyesta.,war-tgl,train,tgl,war
Narinig ko sa radyo na may darating na malaking bagyo kaya kailangan nating patibayin ang ating bubong.,Nabati ko ha radyo nga mayda maabot nga dako nga bagyo sanglit kinahanglan naton patig-unon an aton atop.,war-tgl,train,tgl,war
Masakit ang aking ulo at tila nilalagnat ako kaya hihiga muna ako sa kama ngayong araw.,Masakit an akon ulo ngan baga hin ginhihiranat ako sanglit maubay la anay ako ha higdaan yana nga adlaw.,war-tgl,train,tgl,war
Masayang kumukuha ng mga litrato ang mga turista sa lumang simbahan.,Malipayon nga nagkukuha hin mga litrato an mga turista ha karaan nga simbahan.,war-tgl,train,tgl,war
Mahirap sumakay ng dyip ngayong umaga dahil marami ang mga pasaherong nagmamadali papunta sa trabaho.,Makuri sumakay hin dyip yana nga aga kay damo an mga pasahero nga nagmamadali pakadto ha trabaho.,war-tgl,train,tgl,war
Kinakailangan ang malaking pasensya kung nag-aalaga ng maysakit na matanda sa loob ng bahay.,Ginkikinahanglan an dako nga pasensya kon nag-aataman hin masakiton nga lagas ha sulod han balay.,war-tgl,train,tgl,war
Ipapaayos ko bukas ang aking nasirang sapatos sa kanto dahil kailangan ko itong gamitin sa Lunes.,Ipapaayad ko buwas an akon naguba nga sapatos ha kanto kay kinahanglan ko ini gamiton ha Lunes.,war-tgl,train,tgl,war
Magkano ang pamasahe papunta sa plasa kung sasakay ako ng traysikel dito?,Tagpira an plete pakadto ha plasa kon masakay ako hin traysikel dinhi?,war-tgl,train,tgl,war
Maalat iyang sabaw.,Malat iton sabaw.,war-tgl,train,tgl,war
Ipinagbibigay-alam namin na makakansela ang pagpupulong natin ngayon dahil sa biglaang kakulangan ng kuryente.,Iginpapahibaro namon nga makansela an pagkatitirok naton yana tungod han tigda nga kakulangan han kuryente.,war-tgl,train,tgl,war
