source_text,target_text,language_pair,split,source_lang,target_lang,data_source
"An pinya nagdudugang hin nakakarepresko nga pagbirik.""","Ang aking mga buto ay hindi na nagpapahinga at hindi na nakakaaliw"".",war-tgl,train,war,tgl,alpaca
"Pinaagi han pagsunod hini nga plano ngan padayon nga pagtrabaho ha pagpauswag han imo website, makakab-ot mo an imo tumong nga doblehon an trapiko han imo website ha masunod nga 6 ka bulan","Sa pamamagitan ng pagsunod sa plano na ito at patuloy na pag-andar sa pagpapabuti ng iyong website, makakamit mo ang layunin na doble ang iyong website traffic sa susunod na 6 buwan",war-tgl,train,war,tgl,alpaca
Kinahanglan mo mag-ehersisyo kada aga basi magin makusog an imo panglawason ngan diri ka madagmit kapuyon.,Kailangan mong mag-ehersisyo tuwing umaga upang maging malakas ang iyong pangangatawan at hindi ka mabilis mapagod.,,train,war,tgl,conversational
"Kun sobra kadakmol an ginhalo, pwede ka magbutang hin gutiay nga likido ngan mag-blend utro","Kung ang sobra ng dami ng ginalo ay hindi gaanong kapaki-pakinabang, ang mga likido at mga blend ay maaaring maging kapaki-pakinabang",war-tgl,train,war,tgl,alpaca
"Mapasalamaton han mga ginhawa nga akon ginkukuha, .","Salamat sa mga bagay na aking ginkukuha, .",war-tgl,train,war,tgl,alpaca
Karkuloha an bug-os nga presyo.,Mag-isip ng bug-os sa presyo.,war-tgl,train,war,tgl,alpaca
"Adi an pipira nga komon nga mga kinaiya nga pareho gin-aambit han saging ngan kahel:

1.",Mayroong ilang mga karaniwang katangian na maaaring parehong tinukoy ng saging at kahel: 1.,war-tgl,train,war,tgl,alpaca
Paghimo hin siday pinaagi hin pagpuno han mga blangko .,Paggawa ng isang talata sa pamamagitan ng pagpuno ng mga blanko .,war-tgl,train,war,tgl,alpaca
paghimo hin usa nga tudling nga nagsusumaryo han mga epekto han iginhatag nga palisiya.,gumawa ng isang talaan na sumusumaryo ng mga epekto ng ibinigay na patakaran.,war-tgl,train,war,tgl,alpaca
an food runner in nabulig pagdul-ong hin mga pagkaon tikang ha kusina ngadto han mga kustomer.,isang food runner na tumutulong sa pag-aalis ng mga pagkain mula sa kusina patungo sa mga customer.,war-tgl,train,war,tgl,alpaca
Ayaw kalimot pag-log out ha imo kompyuter san-o ka bumaya ha imo lamesa yana nga gab-i.,Huwag kalimutang mag-log out sa iyong kompyuter bago ka umalis sa iyong mesa ngayong gabi.,,train,war,tgl,conversational
"Ha Estados Unidos, nagkaada hin pag-umento hin maabot 50 ka milyon nga nagamit hin internet, tikang ha 270 ka milyon ngadto ha 320 ka milyon, ha sakob hin 6 ka tuig","Sa Estados Unidos, may isang pagtaas ng 50 milyong gumagamit ng Internet, mula 270 milyon hanggang 320 milyon, bawat anim na taon",war-tgl,train,war,tgl,alpaca
"(Ha alternatibo nga bersyon, an ginamit nga gamit ha literatura amo an personipikasyon, nga pinaagi hini an emosyon han gugma gintatagan hin tawhanon nga mga kinaiya: an kapasidad nga maeksperyensyahan ngan magkaada hin presensya.)","(Sa alternatibong bersyon, ang ginagamit sa literatura ay ang personipikasyon, kung saan ang emosyon ng pag-ibig ay nakabatay sa mga katangian ng tao: ang kakayahang makaranas at walang presensya.)",war-tgl,train,war,tgl,alpaca
"Dugang pa, pwede ka liwat mamiling hin mga gif nga naeksister na nga katugbang han imo paghulagway ha mga website sugad han Giphy o Tenor.","Bilang karagdagan, maaari mo ring hanapin ang mga gif na umiiral na katumbas ng iyong paglalarawan sa mga website tulad ng Giphy o Tenor.",war-tgl,train,war,tgl,alpaca
Nabulig ini ha mga doktor nga makahimo hin temprano nga mga interbensyon ngan malikyan an grabe nga mga sakit.,Ito ay tumutulong sa mga doktor na gumawa ng maagang mga interbensyon at maiwasan ang malubhang sakit.,war-tgl,train,war,tgl,alpaca
An Kataposan nga Panihapon ni Leonardo da Vinci .,Ang Katapos ng Panihapon ay ni Leonardo da Vinci.,war-tgl,train,war,tgl,alpaca
an panadero naghimo han pinakamaopay nga cookies nga akon nakaon,Ang panadero ay gumagawa ng pinakamagandang cookies na aking naranasan.,war-tgl,train,war,tgl,alpaca
"makadto ako ha tindahan, pumalit hin pagkaon","pumayag ako sa tindahan, pumalit hinin pagkain",war-tgl,train,war,tgl,alpaca
Hain nga plataporma han website an pinakamaopay para ha gutiay nga negosyo?,Alin ang pinakamahusay na platform ng pag-host ng website para sa pag-host ng negosyo?,war-tgl,train,war,tgl,alpaca
"Kilalaha an lohikal nga sayop ha masunod nga pahayag: 
""Sadang naton sarahan an mga giutan para maprotektaran an aton mga trabaho nga diri kuhaon han mga dayo.""","Ang lahat ay isang lohikal na pagkakamali sa sumusunod na pahayag: ""Sana tayo ay mag-isa sa mga botante upang protektahan ang ating mga gawain mula sa mga dayuhan"".",war-tgl,train,war,tgl,alpaca
"Pagtambong hin usa nga isport: Kun mahilig ka hin isport, sarihi nga makakuha hin lokal nga uyag o posporo, nga pwede magin makalilipay nga paagi para maeksperyensyahan an hilig ngan kusog han syudad.","Pag-aalaga sa isport: Kung mahilig ka sa isport, maaari kang bumili ng lokal na isport passport, na maaaring maging isang masaya at kaaya-aya na paraan upang maranasan ang kagandahan at lakas ng lungsod.",war-tgl,train,war,tgl,alpaca
Pagplano ngan pag-andam hin masustansya nga pagkaon para han tiarabot nga semana .,Magplano at maghanda ng nutrisyon na pagkain para sa iyong mga gawain sa lingguhang linggo.,war-tgl,train,war,tgl,alpaca
Nawara An Signal Han Akon Selpon Sanglit Diri Ako Makatawag.,Nawala Ang Signal Ng Aking Selpon Kaya Hindi Ako Makatawag.,,train,war,tgl,conversational
"Usa nga mapaso nga kape, an perpekto nga paagi ha pagtikang han adlaw","Isang pag-iipon ng kape, ang perpektong paraan upang simulan ang araw",war-tgl,train,war,tgl,alpaca
"Malipayon hiya pagkit-on ngan waray kabaraka, nga baga hin waray hiya kabaraka o responsabilidad","Ang malipayon ay pagkit-on at walang kabayaran, na parang walang kabayaran o responsabilidad",war-tgl,train,war,tgl,alpaca
An nauna nga hibaro in mayda gihapon epekto ha atensyon ngan motibasyon han mga mag-aram.,Ang isang mas mataas na antas ng pag-aaral ay maaaring magkaroon ng isang mas mataas na epekto sa atensyon at pagganyak ng mga mag-aaral.,war-tgl,train,war,tgl,alpaca
Madagmit nga gindara an biktima ha ospital tungod han iya dako nga samad ha ulo.,Mabilis na dinala ang biktima sa ospital dahil sa kanyang malaking sugat sa ulo.,,train,war,tgl,conversational
Nalipay kami han mabaruan nga makakauli na an akon lola tikang ha ospital,Natuwa kami nang malaman na makakauwi na ang aking lola mula sa ospital,,train,war,tgl,conversational
Makakapinta hi Heidi hin bungbong ha sulod hin 45 minutos.,45 minuto ang pag-iipinta ni Heidi sa bungbong.,war-tgl,train,war,tgl,alpaca
"ini nga balaud nasiring nga ha kada aksyon, may-ada patas ngan kabaliktaran nga reaksyon.","ang batas na ito ay nagsasabi na para sa bawat aksyon, may mga pantay at kabaligtaran na reaksyon.",war-tgl,train,war,tgl,alpaca
Abrihi an dokumento kun diin mo karuyag igsulod an tsart.,Mag-abrihi ng dokumento kung saan mo nais i-install ang tsart.,war-tgl,train,war,tgl,alpaca
"Mga balud ito nga hitaas hinduro an enerhiya nga kasagaran nga iginbubuga han radyoaktibo nga mga materyales, nukleyar nga mga reaksyon, ngan kidlat","Ang mga alon na ito ay may mataas na lakas ng enerhiya na karaniwang inilabas ng mga radioaktibong materyales, mga reaksiyon ng nuklear, at kidlat",war-tgl,train,war,tgl,alpaca
"An mga buhawi in ginkikilala pinaagi hin makusog nga hangin ngan yelo, ngan pwede ini updan hin kidlat ngan makusog nga uran.","Ang mga bulaklak ay kinikilala sa pamamagitan ng malakas na hangin at yelo, at maaaring maging malakas na kidlat at malakas na ulan.",war-tgl,train,war,tgl,alpaca
Diretso la dida.,Diretso lang diyan.,,train,war,tgl,alpaca
Gintagan niya ako hin pira ka piraso nga matam-is nga kendi basi mayda ko makaon samtang naghuhulat han sarakyan pauli ha amon baryo.,Binigyan niya ako ng ilang pirasong matamis na kendi upang mayroon akong makain habang naghihintay ng sasakyan pauwi sa aming baryo.,,train,war,tgl,conversational
"Dugang pa, an mga sarakyan nga de-koryente mas gutiay an iginbubuga nga gas nga nakakapaso kay han ira mga katugbang nga de-gas, bisan kon ginhuhunahuna an pagsingil.","Karagdagan pa, ang mga de-koryenteng sasakyan ay may mas kaunting gas emission kaysa sa kanilang mga katumbas na de-gas, kahit na ang pagsingil ay isinasaalang-alang.",war-tgl,train,war,tgl,alpaca
Ginhangyo Niya Ako Nga Pabilinon Nga Sekreto An Amon Gin-Istoryahan Kagab-I Ha Telepono.,Hiniling Niya Sa Aking Panatilihing Sekreto Ang Aming Pinag-Usapan Kagabi Sa Telepono.,,train,war,tgl,conversational
Ano an sentimyento hini nga tweet?,Ano ang damdamin ng tweet na ito?,war-tgl,train,war,tgl,alpaca
"Nag-uusisa hiya han mga laray han mga libro han makita niya hi Emma nga nalingkod ha usa nga lamesa, nag-iisketch ha iya notepad.","Nag-aaplay siya sa mga librong naka-iisang talahanayan at nakita niya si Emma na nakaupo sa isang mesa, at nag-isket sa kanyang notepad.",war-tgl,train,war,tgl,alpaca
"Ini nga teknik labi nga mapulsanon kon limitado an kadamu han datos, tungod kay nagtutugot ito ha epektibo nga paggamit han makukuha nga datos.","Ang mga pamamaraan na ito ay higit sa lahat ay hindi nagpapahintulot sa paglimite sa dami ng data, dahil ito ay nagbibigay-daan sa epektibong paggamit ng mga magagamit na data.",war-tgl,train,war,tgl,alpaca
"Mahimo ini pinaagi han regular nga mga pag-eksamin, mga pakiana, o mga pag-usisa.","Maaari itong gawin sa pamamagitan ng regular na mga pagsusuri, mga pakete, o mga pagsusulit.",war-tgl,train,war,tgl,alpaca
"Blangko an kanbas, ngan an mga kolor ha paleta diri-organisado nga mga datos nga gintirok tikang ha kalibotan","Ang mga kulay ay mga kanbas, at ang mga kulay ay mga paleta ng di-organisahang mga kulay ng data na nakolekta mula sa mundo",war-tgl,train,war,tgl,alpaca
Dako an epekto ha ekonomiya han COVID-19 pandemic ha mga gudti nga negosyo ha bug-os nga kalibutan.,Ang epekto sa ekonomiya ng COVID-19 pandemic sa maliliit na negosyo sa buong mundo.,war-tgl,train,war,tgl,alpaca
"Adi an sampol nga listahan han mga butang nga bangin karuyag mo dad-on ha pagbiyahe ha pagkampo: 

1.",Narito ang isang sample na listahan ng mga bagay na maaaring nais mong dalhin sa iyong paglalakbay sa kampo: 1.,war-tgl,train,war,tgl,alpaca
Paghimo hin ngaran hin tawo tikang hin usa nga hugpo hin mga simbolo,Gumawa ng isang pangalang tao mula sa isang grupo ng mga simbolo,war-tgl,train,war,tgl,alpaca
"Gamita an makalilipay nga mga istorya, mga rima, ngan interaktibo nga mga sesyon han pagbasa basi mabuligan an bata nga mahibaro ha pagbasa hin simple nga mga pulong ngan mga tudling-pulong.","Gumamit ng mga nakakatawang kuwento, mga lagda, at mga interactive na sesyon sa pagbabasa upang matulungan ang bata na matuto sa pagbabasa ng mga simpleng salita at mga salitang-pahayag.",war-tgl,train,war,tgl,alpaca
"Mga tudling:
Nagtutubo an mga bukad ha adlaw",Mga tudling: Nagtutubo ang mga bukad sa araw,war-tgl,train,war,tgl,alpaca
ilista an lima nga pinakadamo an populasyon nga syudad ha california.,listaan ang ikalimang pinakamakapopular na lungsod ng california.,war-tgl,train,war,tgl,alpaca
Karuyag Niya Mamalit Hin Mga Bag-O Nga Bado Para Ha Tiarabot Nga Pasko Kundi Kulang An Kwarta.,Gusto Niyang Mamili Ng Mga Bagong Damit Para Sa Darating Na Pasko Ngunit Kulang Ang Pera.,,train,war,tgl,conversational
ano idto?,ano iyon?,,train,war,tgl,alpaca
Naglalaom ako nga mas mapapaupay naton an aton proyekto kon pag-iistoryahan naton ini hin maupay.,Inaasahan ko na mas mapapabuti natin ang ating proyekto kung pag-uusapan natin ito nang masinsinan.,,train,war,tgl,conversational
"Nagmalinampuson gud an party, nga natapos nga waray bisita nga nagpakita.","Nagmalinampuson ako sa party, na natapos na walang bisita ang nagpakita.",war-tgl,train,war,tgl,alpaca
Karuyag mo ba nga ipakita ko ha imo an pipira nga mga opsyon?,Maaari bang ipakita sa iyo ang ilang mga pagpipilian?,war-tgl,train,war,tgl,alpaca
Taposa ina yana nga adlaw.,Tapusin mo iyan ngayong araw.,,train,war,tgl,conversational
paghimo hin panpuno nga pag-iristorya gamit an iginhatag nga mga pulong.,gumawa ng isang kumpletong pag-uusap gamit ang mga ibinigay na salita.,war-tgl,train,war,tgl,alpaca
"Ikaduha, an tubig in nakakabulig ha pagtunaw, kay kinahanglanon ini para han pagbungkag ngan pagsupsop han pagkaon","Pangalawa, ang tubig ay tumutulong sa pag-digest, sapagkat ito ay kinakailangan para sa paghahati at pagsasaliksik ng pagkain",war-tgl,train,war,tgl,alpaca
Pag-iban han sayop han tawo: An mga sistema han AI mahimo iprograma ha paghimo hin mga desisyon basado ha datos nga waray impluwensya ha emosyon nga bangin magin hinungdan han sayop han tawo,Pag-aasa ng pagkakamali ng tao: Ang mga sistema ng AI ay maaaring maging programmadong gumawa ng mga desisyon na nakabatay sa data na walang impluwensiya ng emosyon na maaaring maging sanhi ng pagkakamali ng tao,war-tgl,train,war,tgl,alpaca
hain na an imo bana,saan na ang asawa mong lalaki,,train,war,tgl,conversational
"Pinaagi han pagsunod hinin simple nga mga pitad, matitipigan mo nga limpyo ngan waray mikrobyo an imo counter ha kusina.","Sa pamamagitan ng pagsunod sa mga simpleng hakbang, maaari mong panatilihing malinis at walang bakteria ang iyong counter sa kusina.",war-tgl,train,war,tgl,alpaca
Pagdisenyo hin klasipikasyon nga algorithm basi makita an usa nga mensahe nga spam o ham.,Pagdisenyo ng isang algorithm ng pag-classification upang makita ang isang mensahe bilang spam o ham.,war-tgl,train,war,tgl,alpaca
"Bag-o la nga ginhimo an pagkaon, perpekto an timpla ngan maopay an pagpresenta.","Ang pagkain ay maayos na ginawa, ang timpla ay perpekto at ang presentasyon ay mahusay.",war-tgl,train,war,tgl,alpaca
Mahusay Gud Pagkit-On An Balangaw Kahuman Han Gin-Agian Nga Makusog Nga Uran Ha Amon.,Maganda Talagang Pagmasdan Ang Bahaghari Matapos Ang Dumaang Malakas Na Ulan Sa Amin.,,train,war,tgl,conversational
"para han iginhatag nga input, an funksyon in magbabalik hin pagkapareho nga marka nga 66.67, nga nagpapakita nga duha han tulo nga talagsaon nga mga pulong in aada ha duha nga higot.","para sa pagbibigay ng input, ang function na magbalik sa hindi magkatulad ay may marka ng 66.67, na nagpapakita ng dalawa sa tatlong natatanging salita sa dalawang higot.",war-tgl,train,war,tgl,alpaca
Estratehiya: Pagdani hin bag-o nga mga kustomer pinaagi hin paghatag hin diskwento.,Stratehiya: Magbayad ng mga bagong customer sa pamamagitan ng pagbibigay ng diskwento.,war-tgl,train,war,tgl,alpaca
"So, nagtikang hiya paghimo hin gudtiay nga mga pitad.","Kaya, nagsimula siyang gumawa ng mga maliit na mga pag-aalaga.",war-tgl,train,war,tgl,alpaca
Hilarom nga Pag-aram: An hilarom nga pag-aram in usa nga klase hin pag-aram han makina nga nag-uupod hin paggamit hin artipisyal nga mga nerbiyos nga mayda damo nga mga sapaw.,Pag-aaral ng Hilarum: Ang pag-aaral ng hilarum ay isang klase ng pag-aaral ng makina na nagsasangkot sa paggamit ng artipisyal na mga nerbiyos at iba pang mga uri ng mga bagay.,war-tgl,train,war,tgl,alpaca
"Yana nakakaluto na kami, ngan nakakakita na kami ha gab-i","Siya ang nag-aalaga sa amin, at nakikita kami sa gabi",war-tgl,train,war,tgl,alpaca
ini nga teknolohiya nagtutugot ha kompyuter o aparato nga mabasa ha daku nga tingog an sinurat nga sulod ha tingog nga sugad hin tawo.,ang teknolohiya na ito ay nagpapahintulot sa isang computer o aparato na magsagawa ng isang boses at mag-text ng boses na katulad ng boses ng tao.,war-tgl,train,war,tgl,alpaca
diri ako makakareply dayon ha imo mga mensahe kay waray signal han internet dinhi ha amon probinsya,hindi ako makakareply agad sa iyong mga mensahe dahil walang signal ng internet dito sa aming probinsya,,train,war,tgl,conversational
"Waray katapusan nga kalangitan ha adlaw han katpaso, .","Walang hanggan na langit sa araw ng katpaso, .",war-tgl,train,war,tgl,alpaca
Ginsidngan ko an drayber nga ibaba ako harani ha dako nga simbahan kundi lumapas kami hin gutiay.,Sinabihan ko ang drayber na ibaba ako malapit sa malaking simbahan ngunit lumampas kami nang kaunti.,,train,war,tgl,conversational
Makakabulig ini kon magtitikang ka pamiling hin balay tungod kay iginpapakita hito ha mga ahente ngan parabaligya hin balay nga seryoso ka nga pumapalit.,Ito ay kapaki-pakinabang kung magsimula sa pagbili ng bahay dahil ito ay nagpapakita sa mga ahente at mga tagapagbenta ng bahay na seryoso sa mga mamimili.,war-tgl,train,war,tgl,alpaca
Nagplano an amon eskwelahan nga maghimo hin field trip ha mga sikat nga lugar ngan museo ha sulod han Manila.,Nagplano ang aming paaralan na gumawa ng field trip sa mga sikat na lugar at museo sa loob ng Maynila.,,train,war,tgl,conversational
Kilalaha kun an masunod nga tudling nagamit hin kaparihoan o metapora.,Ang mga ito ay isang masunod na pag-uulat na nagamit ng isang kapareho o metapora.,war-tgl,train,war,tgl,alpaca
"An bata sadang magsipilyo, magliwan hin pajama, ngan umukoy nga may libro o nakakapakalma nga musika.","Ang mga bata ay may mga gulay, mga damit at pajama, at ang mga bata ay may mga libro o musika na nagpapahinga.",war-tgl,train,war,tgl,alpaca
Hinaot unta nga magpadayon an aton pagkakasangkay bisan kon hirayo kita ha usag-usa.,Nawa'y magpatuloy ang ating pagkakaibigan kahit na magkalayo tayo sa isa't isa.,war-tgl,train,war,tgl,alpaca
luto na ba an aton panihapon kay nagugutom na an mga bata dinhi ha sala?,luto na ba ang ating hapunan dahil nagugutom na ang mga bata rito sa sala?,,train,war,tgl,conversational
Pagsurat hin klasipikasyon nga essay mahitungod han mga alaga nga hayop,Isulat ang isang klasika at essay tungkol sa mga uri ng hayop,war-tgl,train,war,tgl,alpaca
Paghatag hin kahulogan han mga klase hin emerhensya: Tikangi pinaagi hin pagkilala han mga klase hin emerhensya nga pwede mahitabo ha iyo lugar o organisasyon.,Pagbibigay ng kahulugan ng mga klase ng emerhensya: Magsimula sa pamamagitan ng pagbibigay ng kahulugan ng mga klase ng emerhensya na maaaring mangyari sa lugar o organisasyon.,war-tgl,train,war,tgl,alpaca
Subnet Mask: Ginagamit ini para makilala an range han IP address nga magamit ha imo network.,Subnet Mask: Ginagamit upang makilala ang saklaw ng IP address na magagamit sa iyong network.,war-tgl,train,war,tgl,alpaca
Kuhaa ini nga lista hin upat nga butang ngan himoa nga slogan:,Ito ay isang listahan ng apat na pindutan at may slogan:,war-tgl,train,war,tgl,alpaca
An pag-anak ngan sakit in peligro liwat ha pagkabuhi han leopardo han Amur,Ang pag-anak ay nasa panganib dahil sa pagkabuhay ng leopardo ng Amur,war-tgl,train,war,tgl,alpaca
"Diri daw madali an gugma, usa ini nga uyag hin paghatag ngan pagkuha
Diri ka pwede magdali gugma, diri kinahanglan mo la maghulat
Kinahanglan mo sumarig, tagan hin panahon
Bisan ano pa kaiha.","Kung ang pag-ibig ay madali, ito ay isang paraan ng pagbibigay at pagkuha ng Iyong sarili kung maaari kang mag-ibig, hindi mo kailangang maghintay Kailangan mong mag-ingat, bigyan mo ng oras Kahit anong oras.",war-tgl,train,war,tgl,alpaca
"An karakter in usa nga makusog, mabub-on nga kalag nga an iya malimbungon nga batasan in pareho nga gintutugbang han ira kaisog","Ang isang karakter sa isang tao ay malakas, may-pag-iisip na may kakayahang mag-imbak ng mga ugali at mga ugali na hindi maaaring i-set sa pamamagitan ng kanilang mga kagustuhan",war-tgl,train,war,tgl,alpaca
"mahimo hini makita an mga emosyon sugad han kalipay, kasubo, kasina ngan kahipausa.","maaari itong magpakita ng mga emosyon tulad ng kagalakan, kalungkutan, kasiyahan at pagkabalisa.",war-tgl,train,war,tgl,alpaca
"Tawo 2: Aw, maaram ka kun paano ini nga mga butang.","Tao 2: Oo, alam ko kung paano ang mga bagay na ito.",war-tgl,train,war,tgl,alpaca
Usa hiya nga kontrabida ha nobela ngan pelikula nga pareho an ngaran.,Isa siya sa mga kontrabida ng nobela at pelikula ng parehong pangalan.,war-tgl,train,war,tgl,alpaca
Nalipay Gud An Amon Lolo Han Kinmada An Ngatanan Niya Nga Apo Para Ha Iya.,Natuwa Talaga Ang Aming Lolo Nang Pumunta Ang Lahat Ng Kanyang Apo Para Sa Kanya.,,train,war,tgl,conversational
Tinuod ba an imo siring?,Totoo ba ang sinabi mo?,,train,war,tgl,alpaca
"c. papel han teknolohiya, palisiya, ngan internasyonal nga kooperasyon .","c. ang papel ng teknolohiya, patakaran, at internasyonal na kooperasyon .",war-tgl,train,war,tgl,alpaca
"analisaha an iginhatag nga parapo ngan ilista an tulo nga problema may kalabotan ha gramatika, puntwasyon, o estilo han pagsurat.","pag-aralan ang ibinigay na parapo at i-list ang tatlong problema na may kaugnayan sa gramatika, puntasyon, o istilo ng pagsulat.",war-tgl,train,war,tgl,alpaca
